MARKETGROUPID;PARENTGROUPID;MARKETGROUPNAME;DESCRIPTION;ICONID;HASTYPES
290;286;Medium;Blueprints of medium hybrid turrets.;;1
291;286;Small;Blueprints of small hybrid turrets.;;1
292;288;Small;Blueprints of small laser turrets.;;1
293;288;Medium;Blueprints of medium laser turrets.;;1
295;288;Large;Blueprints of large laser turrets.;;1
296;287;Small;Blueprints of small projectile turrets.;;1
297;287;Medium;Blueprints of medium projectile turrets.;;1
298;287;Large;Blueprints of large projectile turrets.;;1
299;211;Projectile Ammo;Projectile ammo blueprints.;2703;0
300;211;Hybrid Charges;Hybrid charge blueprints.;2703;0
301;211;Frequency Crystals;Frequency crystal blueprints.;2703;0
302;301;Small;Blueprints of small frequency crystals.;;1
303;301;Medium;Blueprints of medium frequency crystals.;;1
305;301;Large;Blueprints of large frequency crystals.;;1
306;300;Large;Blueprints of large hybrid ammunition.;;1
307;300;Small;Blueprints of small hybrid ammunition.;;1
308;300;Medium;Blueprints of medium hybrid ammunition.;;1
309;299;Large;Blueprints of large projectile ammunition.;;1
312;299;Medium;Blueprints of medium projectile ammunition.;;1
313;299;Small;Blueprints of small projectile ammunition.;;1
314;211;Missiles;Missile blueprints.;2703;0
315;314;Auto-Targeting;Blueprints of friend-or-foe missiles.;;1
316;314;Defender;Blueprints of defender missiles.;;1
318;314;Rockets;Blueprints of rockets.;;1
320;1520;Scan Probes;Blueprints of scan probes.;;1
325;1710;Scanners;Blueprints of scanners.;;1
331;252;Microwarpdrives;Blueprints of microwarpdrives.;;1
332;252;Propulsion Upgrades;Blueprints of propulsion upgrades.;;1
335;214;Hull Upgrades;Blueprints of hull upgrades.;;1
338;1711;Mining Lasers;Blueprints of mining lasers.;;1
339;211;Cap Booster Charges;Blueprints of cap booster charges.;;1
340;210;Missile Launchers;Blueprints of missile launchers.;;1
341;209;Smartbombs;Blueprints of smartbombs.;;1
343;210;Weapon Upgrades;Blueprints of weapon upgrades.;;1
357;2;Drones;Blueprints of drone designs.;2703;0
358;357;Mining Drones;Blueprints of mining drone designs.;;1
359;1530;Heavy Attack Drones;Blueprints of heavy attack drone designs.;;1
364;150;Gunnery;The core of the combat arts: how to use your guns.;;1
365;150;Corporation Management;Running a well-oiled operation is a fine art.;;1
366;150;Drones;Skills pertaining to the efficient operation of drones.;;1
367;150;Electronic Systems;Skills pertaining to management of a starfaring vessel's electronic systems.;;1
368;150;Engineering;Skills pertaining to management of a starfaring vessel's hardwired onboard systems.;;1
369;150;Production;Skills pertaining to the efficient use of manufacturing facilities and industrial devices.;;1
370;150;Leadership;Skills pertaining to the efficient coordination of the pilots under your command.;;1
372;150;Rigging;Skills pertaining to the fine tuning of a starfaring vessel's installed systems.;;1
373;150;Missiles;Skills pertaining to the efficient use of jet-propelled warheads.;;1
374;150;Navigation;How to make your way through space as quickly and efficiently as possible.;;1
375;150;Science;Skills pertaining to various fields of scientific knowledge.;;1
376;150;Social;Skills pertaining to efficient navigation through the social landscape.;;1
377;150;Spaceship Command;Skills required for commanding all shapes and sizes of capsule-fitted vessel.;;1
378;150;Trade;The knowledge required to build a commercial empire.;;1
379;404;Cargo Containers;For deep-space storage of valuable materials.;16;0
380;141;Micro;The smallest smartbombs available, for when powergrid and CPU are scarce.;;1
381;141;Large;Battleship-sized smartbombs.;;1
382;141;Small;Frigate-sized smartbombs.;;1
383;141;Medium;Cruiser-sized smartbombs.;;1
387;114;Torpedoes;Devastating jet-propelled projectiles carrying huge payloads.;1349;0
390;314;Torpedoes;Blueprints of torpedoes.;;1
391;4;Shuttles;Fast and cheap vessels for easy transport.;1443;0
393;391;Amarr;Amarr shuttle designs.;;1
394;391;Minmatar;Minmatar shuttle designs.;;1
395;391;Gallente;Gallente shuttle designs.;;1
396;391;Caldari;Caldari shuttle designs.;;1
398;1036;Tools;Construction tools and research databases used in Tech II manufacturing.;;1
399;1364;Interceptors;Lightning-fast, highly maneuverable frigates.;1443;0
400;399;Amarr;Amarr interceptor designs.;;1
401;399;Caldari;Caldari interceptor designs.;;1
402;399;Gallente;Gallente interceptor designs.;;1
403;399;Minmatar;Minmatar interceptor designs.;;1
404;477;Deployable Structures;Chuck it into space and leave it there. If you like.;16;0
405;404;Warp Disruption Fields ;Trap a fly in your web.;;1
406;1338;Deployable Structures;Blueprints of deployable structures.;2703;0
407;406;Warp Disruption Fields;Blueprints of Warp disruption fields.;;1
408;204;Interceptors;Blueprints of interceptor-class vessels.;2703;0
410;408;Amarr;Blueprints of Amarr interceptor designs.;;1
411;408;Caldari;Blueprints of Caldari interceptor designs.;;1
412;408;Gallente;Blueprints of Gallente interceptor designs.;;1
413;408;Minmatar;Blueprints of Minmatar interceptor designs.;;1
414;204;Shuttles;Blueprints of shuttle-class vessels.;2703;0
415;414;Amarr;Blueprints of Amarr shuttle designs.;;1
416;414;Caldari;Blueprints of Caldari shuttle designs.;;1
417;414;Gallente;Blueprints of Gallente shuttle designs.;;1
418;414;Minmatar;Blueprints of Minmatar shuttle designs.;;1
419;204;Covert Ops;Blueprints of covert ops-class vessels.;2703;0
420;1364;Covert Ops;Frigates designed for clandestine operations.;1443;0
421;420;Amarr;Amarr covert ops designs.;;1
422;420;Caldari;Caldari covert ops designs.;;1
423;420;Gallente;Gallente covert ops designs.;;1
424;420;Minmatar;Minmatar covert ops designs.;;1
425;419;Amarr;Blueprints of Amarr covert ops designs.;;1
427;419;Caldari;Blueprints of Caldari covert ops designs.;;1
428;419;Gallente;Blueprints of Gallente covert ops designs.;;1
429;419;Minmatar;Blueprints of Minmatar covert ops designs.;;1
430;1578;Cloaking Devices;Blueprints of cloaking devices.;;1
432;1364;Assault Frigates;Sturdy and powerful frigates built for all-out combat.;1443;0
433;432;Amarr;Amarr assault frigate designs.;;1
434;432;Caldari;Caldari assault frigate designs.;;1
435;432;Gallente;Gallente assault frigate designs.;;1
436;432;Minmatar;Minmatar assault frigate designs.;;1
437;1368;Logistics;Support ships, engineered for field assistance in large engagements.;1443;0
438;437;Amarr;Amarr logistics vessel designs.;;1
439;437;Caldari;Caldari logistics vessel designs.;;1
440;437;Gallente;Gallente logistics vessel designs.;;1
441;437;Minmatar;Minmatar logistics vessel designs.;;1
442;204;Logistics;Blueprints of Logistics-class vessels.;2703;0
443;442;Amarr;Blueprints of Amarr logistics designs.;;1
444;442;Caldari;Blueprints of Caldari logistics designs.;;1
445;442;Gallente;Blueprints of Gallente logistics designs.;;1
446;442;Minmatar;Blueprints of Minmatar logistics designs.;;1
448;1368;Heavy Assault Cruisers;Sturdy and powerful cruisers built for all-out combat.;1443;0
449;448;Amarr;Amarr heavy assault cruiser designs.;;1
450;448;Caldari;Caldari heavy assault cruiser designs.;;1
451;448;Gallente;Gallente heavy assault cruiser designs.;;1
452;448;Minmatar;Minmatar heavy assault cruiser designs.;;1
453;204;Heavy Assault Cruisers;Blueprints of heavy assault-class vessels.;2703;0
454;453;Amarr;Blueprints of Amarr heavy assault cruiser designs.;;1
455;453;Caldari;Blueprints of Caldari heavy assault cruiser designs.;;1
456;453;Gallente;Blueprints of Gallente heavy assault cruiser designs.;;1
457;453;Minmatar;Blueprints of Minmatar heavy assault cruiser designs.;;1
458;204;Assault Frigates;Blueprints of assault-class vessels.;2703;0
459;458;Amarr;Blueprints of Amarr assault frigate designs.;;1
461;458;Caldari;Blueprints of Caldari assault frigate designs.;;1
462;458;Gallente;Blueprints of Gallente assault frigate designs.;;1
463;458;Minmatar;Blueprints of Minmatar assault frigate designs.;;1
464;1372;Standard Destroyers;Anti-frigate gunboats.  The middle ground between a frigate and a cruiser.;1443;0
465;464;Amarr;Amarr destroyer designs.;;1
466;464;Caldari;Caldari destroyer designs.;;1
467;464;Gallente;Gallente destroyer designs.;;1
468;464;Minmatar;Minmatar destroyer designs.;;1
469;1374;Standard Battlecruisers;A class of powerful combat vessels midway between cruisers and battleships.;1443;0
470;469;Amarr;Amarr battlecruiser designs.;;1
471;469;Caldari;Caldari battlecruiser designs.;;1
472;469;Gallente;Gallente battlecruiser designs.;;1
473;469;Minmatar;Minmatar battlecruiser designs.;;1
475;;Manufacture & Research;Everything the budding scientist or builder needs to set up shop. ;1436;0
476;1033;Ice Products;Materials harvested from interstellar ice ores.;;1
477;;Structures;Your interstellar home-away-from-home. ;2222;0
478;1285;Control Towers;The starbase's backbone.;;1
479;480;Missile Batteries;Stationary missile batteries for starbase defense.;;1
480;1285;Weapon Batteries;Stationary weapon batteries for starbase defense.;2222;0
481;480;Electronic Warfare Batteries;Batteries providing electronic countermeasures for starbase defense.;;1
482;1285;Refining Arrays;Anchorable refinery structures.;;1
483;1285;Silos;For storing or providing resources, or regulating material flow in industrial processes. ;;1
484;1285;Ship Maintenance Arrays;Mobile hangar and fitting structures.;;1
485;1285;Shield Hardening Arrays;Anchorable structures for the boosting of a control tower's shield resistances.;;1
488;1285;Moon Harvesting Arrays;Deployable arrays designed to gather minerals from moons.;;1
490;1285;Reactors;Deployable structures where chemical processes take place.;;1
491;19;Narcotics;Substances that tinker with brain chemistry and induce altered states.;;1
492;19;Consumer Products;Grease the wheels of the capitalistic machine.;;1
493;1033;Ice Ore;Various types of interstellar ice.;;1
494;1384;Mining Barges;Lumbering, voracious hulks, expressly created for ore accumulation.;;1
496;204;Mining Barges;Blueprints of mining barge-class vessels.;2703;0
497;496;ORE;Blueprints of ORE mining barge designs.;;1
499;1034;Advanced Materials;Materials used for Tech II vessel and equipment production.;;1
500;1034;Processed Materials;Compounds used in complex reactions.;;1
501;1034;Raw Materials;Pure elements and other raw materials from nature.;;1
502;845;Extra Large;Fired by dreadnaught-sized guns and stationary defense systems.;;1
503;851;Extra Large;For use with dreadnought-sized lasers and stationary defense systems.;;1
504;848;Extra Large;Fired by dreadnought-sized guns and stationary defense systems.;;1
505;114;Citadel Torpedoes;The most powerful missiles to be found anywhere.;1346;0
506;1285;Corporate Hangar Array;Communal hangar structures with divisional compartments.;;1
507;475;Reactions;Chemical processes where compounds are combined to create new molecular structures.;2665;0
508;507;Simple Reactions;Chemical processes through which raw materials are made into compounds.;;1
509;507;Complex Reactions;Chemical processes through which compounds are combined into complex materials.;;1
512;54;Arkonor;Sub-types of arkonor ore.;;1
514;54;Bistot;Sub-types of bistot ore.;;1
515;54;Pyroxeres;Sub-types of Pyroxeres ore.;;1
516;54;Plagioclase;Sub-types of plagioclase ore.;;1
517;54;Spodumain;Sub-types of spodumain ore.;;1
518;54;Veldspar;"Sub-types of veldspar ore.
 ";;1
519;54;Scordite;"Sub-types of scordite ore.
";;1
521;54;Crokite;Sub-types of crokite ore.;;1
522;54;Dark Ochre;Sub-types of dark ochre ore.;;1
523;54;Kernite;Sub-types of kernite ore.;;1
525;54;Gneiss;Sub-types of gneiss ore.;;1
526;54;Omber;Sub-types of omber ore.;;1
527;54;Hedbergite;Sub-types of hedbergite ore.;;1
528;54;Hemorphite;Sub-types of hemorphite ore.;;1
529;54;Jaspet;Sub-types of jaspet ore.;;1
530;54;Mercoxit;An extremely rare and valuable ore, yielding a unique mineral.;;1
531;27;Skill Hardwiring;Implants designed to increase a pilot's aptitude in a specialized area.;2224;0
532;27;Attribute Enhancers;Implants designed to augment specific aspects of the pilot's mental make-up.;2062;0
533;475;Materials;The building blocks of your life in space.;1201;0
535;14;Armor Hardeners;Electronically enhanced armor plating augmentation.;1030;0
537;14;Remote Armor Repairers;Patch up your comrades at a distance.;80;0
538;14;Hull Repairers;For on-the-fly structural restoration.;80;0
540;14;Resistance Plating;Mechanically enhanced armor plating augmentation.;1030;0
541;14;Energized Plating;An advanced form of mechanically enhanced armor plating upgrades.;2066;0
542;52;Afterburners;Provide additional thrust to the ship's engines.;;1
550;554;Shield Resistance Amplifiers;Strengthen various aspects of the shields' subatomic containment fields.;20939;0
551;554;Shield Extenders;Boost the maximum strength of the ship's shield system.;1044;0
552;554;Shield Boosters;Convert energy from the ship's core into additional shield power.;84;0
553;554;Shield Hardeners;Computerized systems designed to give a temporary increase in shield resistance.;81;0
554;9;Shield;Strengthen your barriers.;69;0
555;86;Railguns;Railguns use magnetic rails to fire solid chunks of matter at hypersonic speed.;366;0
556;86;Blasters;Blasters fire magnetically contained balls of subatomic particles.;365;0
557;88;Beam Lasers;Beam lasers fire a concentrated, persistent stream of energy at their target.;361;0
558;88;Pulse Lasers;Pulse lasers emit an oscillating energy beam at their target.;360;0
559;87;Autocannons;Autocannons are effective at close ranges and possess great tracking ability.;381;0
560;87;Artillery Cannons;Slow-firing long-range cannons, able to deal crippling blows with great economy.;381;0
561;556;Small;Fast-tracking, low-damage blasters, for use on frigates.;;1
562;556;Medium;Medium-sized blasters, for use on cruisers.;;1
563;556;Large;Slow-tracking, high-damage blasters, for use on battleships.;;1
564;555;Small;Fast-tracking, low-damage railguns, for use on frigates.;;1
565;555;Medium;Medium-sized railguns, for use on cruisers.;;1
566;555;Large;Slow-tracking, high-damage railguns, for use on battleships.;;1
567;557;Small;Small beam lasers, suitable for frigate use.;;1
568;557;Medium;Medium beam lasers, suitable for cruiser use.;;1
569;557;Large;Large beam lasers, suitable for battleship use.;;1
570;558;Small;Small pulse lasers, suitable for frigate use.;;1
572;558;Medium;Medium pulse lasers, suitable for cruiser use.;;1
573;558;Large;Large pulse lasers, suitable for battleship use.;;1
574;559;Small;Frigate-sized autocannons, effective at very close ranges.;;1
575;559;Medium;Cruiser-sized weapons. Deliver a rapid-fire barrage of shells at close ranges.;;1
576;559;Large;Battleship-sized autocannons. Deal massive damage, up close and personal.;;1
577;560;Small;Small artillery cannons, suitable for frigate use.;;1
578;560;Medium;Medium artillery cannons, suitable for cruiser use.;;1
579;560;Large;Large artillery cannons, suitable for battleship use.;;1
580;114;Cruise Missiles;Lifting-wing, jet-propelled guided missiles with heavy payloads.;184;0
581;114;Heavy Missiles;Jet-propelled projectiles for heavy launchers.;186;0
582;204;Destroyers;Blueprints of destroyer-class vessels.;2703;0
583;582;Amarr;Blueprints of Amarr destroyer designs.;;1
584;582;Caldari;Blueprints of Caldari destroyer designs.;;1
585;582;Gallente;Blueprints of Gallente destroyer designs.;;1
586;582;Minmatar;Blueprints of Minmatar destroyer designs.;;1
588;204;Battlecruisers;Blueprints of battlecruiser-class vessels.;2703;0
589;588;Amarr;Blueprints of Amarr battlecruiser designs.;;1
590;588;Caldari;Blueprints of Caldari battlecruiser designs.;;1
591;588;Gallente;Blueprints of Gallente battlecruiser designs.;;1
592;588;Minmatar;Blueprints of Minmatar battlecruiser designs.;;1
593;11;Mining Crystals;Frequency crystals custom-cut for different ore types.;;1
594;480;Projectile Batteries;Projectile turret batteries.;;1
595;480;Hybrid Batteries;Hybrid turret batteries.;;1
596;480;Laser Batteries;Laser turret batteries.;;1
597;299;Extra Large;Blueprints of capital-sized projectile ammunition.;;1
598;300;Extra Large;Blueprints of capital-sized hybrid ammunition.;;1
599;301;Extra Large;Blueprints of capital-sized frequency crystals.;;1
600;128;Capital;Capital ship-sized shield transport units.;;1
601;128;Large;Battleship-sized shield transport units.;;1
602;128;Medium;Cruiser-sized shield transport units.;;1
603;128;Small;Frigate-sized shield transport units.;;1
604;128;Micro;The smallest of the shield transporters, for when CPU and powergrid are scarce.;;1
605;551;Small;Frigate-class shield extension systems.;;1
606;551;Medium;Cruiser-class shield extension systems.;;1
607;551;Micro;The smallest of the shield extenders, for when CPU and powergrid are scarce.;;1
608;551;Large;Battleship-class shield extension systems.;;1
609;552;Small;Frigate-class shield boosters.;;1
610;552;Medium;Cruiser-class shield boosters.;;1
611;552;Large;Battleship-class shield boosters.;;1
612;552;Extra Large;Supercharged shield boosting units for advanced battleship pilots.;;1
613;552;Boost Amplifiers;Focus and amplify the efficiency of shield boosting modules.;;1
614;19;Criminal Evidence;Proof positive of a bounty hunter's job well done.;2302;0
615;14;Damage Controls;Containment field emitters and redundancy systems for prevention of critical system damage. ;;1
616;19;Insignias;DNA-imprinted personal insignias.;2552;0
617;314;Citadel Torpedoes;Blueprints of citadel torpedoes.;;1
618;532;Implant Slot 01;Implants intended for Subcervical Processing Slot 1.;;1
619;532;Implant Slot 02;Implants intended for Subcervical Processing Slot 2.;;1
620;532;Implant Slot 03;Implants intended for Subcervical Processing Slot 3.;;1
621;532;Implant Slot 04;Implants intended for Subcervical Processing Slot 4.;;1
622;532;Implant Slot 05;Implants intended for Subcervical Processing Slot 5.;;1
629;1385;Transport Ships;Advanced technologies for the transportation of valuable materials.;1443;0
630;629;Amarr;Amarr transport ship designs.;;1
631;629;Caldari;Caldari transport ship designs.;;1
632;629;Gallente;Gallente transport ship designs.;;1
633;629;Minmatar;Minmatar transport ship designs.;;1
634;204;Transport Ships;Blueprints of transport-class vessels.;2703;0
635;634;Amarr;Blueprints of Amarr transport designs.;;1
636;634;Caldari;Blueprints of Caldari transport designs.;;1
637;634;Gallente;Blueprints of Gallente transport designs.;;1
638;634;Minmatar;Blueprints of Minmatar transport designs.;;1
639;140;Rocket Launchers;For the launching of swift-moving rocket projectiles.;;1
640;140;Light Missile Launchers;For the launching of light missiles.;;1
641;140;Rapid Light Missile Launchers;Fast-launching, cruiser-sized standard missile bays.;;1
642;140;Heavy Launchers;For the launching of heavy missiles.;;1
643;140;Cruise Launchers;For the launching of cruise missiles.  Can also fit torpedoes.;;1
644;140;Torpedo Launchers;For the launching of torpedoes and cruise missiles.;;1
645;143;Ballistic Control Systems;Systems designed to improve missile launcher efficiency.;;1
646;143;Gyrostabilizers;Systems designed to improve projectile weapon efficiency.;;1
647;143;Heat Sinks;Systems designed to improve laser weapon efficiency.;;1
648;143;Magnetic Field Stabilizers;Systems designed to improve hybrid weapon efficiency.;;1
655;9;Engineering Equipment;Everything you need to upgrade your powercore.;70;0
656;9;Electronics and Sensor Upgrades;Give your onboard computer systems some love.;104;0
657;9;Electronic Warfare;Mounds of electronic wizardry, for that extra edge.;111;0
658;655;Power Diagnostic Systems;Monitor and optimize the power grid and capacitor systems.;;1
659;655;Reactor Control Units;Run power core optimization subroutines for maximum efficiency.;;1
660;655;Auxiliary Power Controls;Supplementary systems providing a flat boost to powercore energy.;;1
661;655;Energy Destabilizers;Neutralize a portion of the target ship's capacitor energy.;1283;0
662;655;Energy Vampires;Steal the other guy's thunder.;1029;0
663;655;Remote Capacitor Transmitters;Systems allowing transfer of capacitor energy to another ship.;1035;0
664;655;Capacitor Batteries;Allow the capacitor to store more energy.;89;0
665;655;Capacitor Rechargers;Provide a boost to the capacitor's recharge rate.;;1
666;655;Capacitor Flux Coils;Increase capacitor recharge rate while lowering maximum capacitor capacity.;;1
667;655;Capacitor Power Relays;Increase capacitor recharge rate at the expense of shield boosting capability.;;1
668;655;Capacitor Boosters;Provide quick injections of power into the capacitor.;1031;0
669;656;Signal Amplifiers;Augment a ship's targeting range and target acquisition time.;;1
670;656;Automated Targeting Systems;For automated targeting of hostiles.;;1
671;656;Sensor Boosters;Provide a boost to a ship's targeting range and target acquisition time.;;1
672;656;Passive Targeting Systems;Allow for surreptitious targeting of hostiles.;;1
673;656;Remote Sensor Boosters;Augment target ship's targeting range and target acquisition time.;;1
675;656;Cloaking Devices;Use advanced spatial distortion technology to render ships invisible.;;1
676;656;CPU Upgrades;Provide an increase in the ship's CPU output.;;1
677;657;Electronic Counter Measures;Designed to disrupt and lock down enemy ships' sensor arrays.;109;0
678;657;ECM Bursts;Targeting jammers emitting multi-frequency disruptive signals.;;1
679;657;Remote Sensor Dampeners;Decrease the targeting speed and range of target ship.;;1
680;657;Tracking Disruptors;Disrupt the turret range and tracking speed of the target ship.;;1
681;657;Sensor Backup Arrays;Beef up your sensor strength to resist target jamming.;104;0
682;657;Warp Jammers;Your foes aren't going anywhere.;;1
683;657;Stasis Webifiers;Slow them down, then smack them down.;;1
685;657;ECCM;Auxiliary systems giving a boost to sensor strength for a short time.;104;0
686;657;Projected ECCM;Boost a target ship's sensor strength for a short time.;;1
687;554;Shield Flux Coils;Increase shield recharge rate while lowering maximum shield capacity.;;1
688;554;Shield Power Relays;Divert power from ship's core to shields, increasing shield recharge rate.;;1
689;661;Small;Frigate-sized energy destabilizers.;;1
690;661;Medium;Cruiser-sized energy destabilizers.;;1
691;661;Heavy;Battleship-sized energy destabilizers.;;1
692;662;Small;Frigate-sized energy vampires.;;1
693;662;Medium;Cruiser-sized energy vampires.;;1
694;662;Heavy;Battleship-sized energy vampires.;;1
695;663;Small;Frigate-sized energy transfer arrays.;;1
696;663;Medium;Cruiser-sized energy transfer arrays.;;1
697;663;Large;Battleship-sized energy transfer arrays.;;1
698;668;Micro;Small capacitor boosters, for when powergrid and CPU are scarce.;;1
699;668;Small;Frigate-sized capacitor boosters.;;1
700;668;Medium;Cruiser-sized capacitor boosters.;;1
701;668;Heavy;Battleship-sized capacitor boosters.;;1
702;664;Micro;Give a small increase in capacitor energy.;;1
703;664;Small;Frigate-sized capacitor batteries.;;1
704;664;Medium;Cruiser-sized capacitor batteries.;;1
705;664;Large;Battleship-sized capacitor batteries.;;1
706;143;Tracking Computers;Computerized systems designed to improve turret tracking.;;1
707;143;Tracking Enhancers;Hardwired systems designed to improve turret tracking.;;1
708;143;Remote Tracking Computers;Designed to give a boost to another ship's tracking speed.;;1
