BLUEPRINTTYPEID;PARENTBLUEPRINTTYPEID;PRODUCTTYPEID;PRODUCTIONTIME;TECHLEVEL;RESEARCHPRODUCTIVITYTIME;RESEARCHMATERIALTIME;RESEARCHCOPYTIME;RESEARCHTECHTIME;PRODUCTIVITYMODIFIER;MATERIALMODIFIER;WASTEFACTOR;MAXPRODUCTIONLIMIT
843;;459;600;1;12000;12000;12000;9000;120;5;10;300
844;;460;600;1;12000;12000;12000;9000;120;5;10;300
845;;461;600;1;12000;12000;12000;9000;120;5;10;300
846;;462;600;1;12000;12000;12000;9000;120;5;10;300
847;;463;600;1;12000;12000;12000;9000;120;5;10;300
848;;464;600;1;12000;12000;12000;9000;120;5;10;300
879;;178;300;1;6000;6000;6000;4500;60;5;10;1500
880;;179;300;1;6000;6000;6000;4500;60;5;10;1500
881;;180;300;1;6000;6000;6000;4500;60;5;10;1500
882;;181;300;1;6000;6000;6000;4500;60;5;10;1500
883;;182;300;1;6000;6000;6000;4500;60;5;10;1500
884;;183;300;1;6000;6000;6000;4500;60;5;10;1500
885;;184;300;1;6000;6000;6000;4500;60;5;10;1500
886;;185;300;1;6000;6000;6000;4500;60;5;10;1500
887;;186;300;1;6000;6000;6000;4500;60;5;10;1500
888;;187;300;1;6000;6000;6000;4500;60;5;10;1500
889;;188;300;1;6000;6000;6000;4500;60;5;10;1500
890;;189;300;1;6000;6000;6000;4500;60;5;10;1500
891;;190;300;1;6000;6000;6000;4500;60;5;10;1500
892;;191;300;1;6000;6000;6000;4500;60;5;10;1500
893;;192;300;1;6000;6000;6000;4500;60;5;10;1500
894;;193;300;1;6000;6000;6000;4500;60;5;10;1500
895;;194;300;1;6000;6000;6000;4500;60;5;10;1500
896;;195;300;1;6000;6000;6000;4500;60;5;10;1500
897;;196;300;1;6000;6000;6000;4500;60;5;10;1500
898;;197;300;1;6000;6000;6000;4500;60;5;10;1500
899;;198;300;1;6000;6000;6000;4500;60;5;10;1500
900;;199;300;1;6000;6000;6000;4500;60;5;10;1500
901;;200;300;1;6000;6000;6000;4500;60;5;10;1500
902;;201;300;1;6000;6000;6000;4500;60;5;10;1500
935;;588;6000;1;120000;120000;120000;90000;1200;5;10;30
936;;589;6000;1;120000;120000;120000;90000;1200;5;10;30
937;;590;6000;1;120000;120000;120000;90000;1200;5;10;30
938;;591;6000;1;120000;120000;120000;90000;1200;5;10;30
939;;592;6000;1;120000;120000;120000;90000;1200;5;10;30
940;;593;6000;1;120000;120000;120000;90000;1200;5;10;30
941;;594;6000;1;120000;120000;120000;90000;1200;5;10;30
943;;596;6000;1;120000;120000;120000;90000;1200;5;10;30
944;;597;6000;1;120000;120000;120000;90000;1200;5;10;30
945;;598;6000;1;120000;120000;120000;90000;1200;5;10;30
946;;599;6000;1;120000;120000;120000;90000;1200;5;10;30
947;;600;6000;1;120000;120000;120000;1200000;1200;5;10;30
948;;601;6000;1;120000;120000;120000;90000;1200;5;10;30
949;;602;6000;1;120000;120000;120000;90000;1200;5;10;30
950;;603;6000;1;120000;120000;120000;90000;1200;5;10;30
952;;605;6000;1;120000;120000;120000;90000;1200;5;10;30
953;;606;6000;1;120000;120000;120000;90000;1200;5;10;30
954;;607;6000;1;120000;120000;120000;90000;1200;5;10;30
955;;608;6000;1;120000;120000;120000;90000;1200;5;10;30
956;;609;6000;1;120000;120000;120000;90000;1200;5;10;30
957;;610;6000;1;120000;120000;120000;1200000;1200;5;10;30
958;;611;6000;1;120000;120000;120000;1200000;1200;5;10;30
960;;613;6000;1;120000;120000;120000;1200000;1200;5;10;30
961;;614;6000;1;120000;120000;120000;1200000;1200;5;10;30
962;;615;6000;1;120000;120000;120000;1200000;1200;5;10;30
963;;616;6000;1;120000;120000;120000;1200000;1200;5;10;30
964;;617;6000;1;120000;120000;120000;1200000;1200;5;10;30
965;;618;6000;1;120000;120000;120000;1200000;1200;5;10;30
966;;619;6000;1;120000;120000;120000;1200000;1200;5;10;30
967;;672;2000;1;120000;120000;120000;90000;400;5;10;30
968;;623;12000;1;240000;240000;240000;180000;2400;5;10;15
969;;624;12000;1;240000;240000;240000;180000;2400;5;10;15
970;;625;12000;1;240000;240000;240000;180000;2400;5;10;15
971;;626;12000;1;240000;240000;240000;180000;2400;5;10;15
972;;627;12000;1;240000;240000;240000;180000;2400;5;10;15
973;;628;12000;1;240000;240000;240000;180000;2400;5;10;15
974;;629;12000;1;240000;240000;240000;180000;2400;5;10;15
975;;630;12000;1;240000;240000;240000;180000;2400;5;10;15
976;;631;12000;1;240000;240000;240000;180000;2400;5;10;15
977;;632;12000;1;240000;240000;240000;180000;2400;5;10;15
978;;633;12000;1;240000;240000;240000;180000;2400;5;10;15
979;;634;12000;1;240000;240000;240000;180000;2400;5;10;15
983;;648;12000;1;240000;240000;240000;180000;2400;5;10;15
984;;649;12000;1;240000;240000;240000;180000;2400;5;10;15
985;;650;12000;1;240000;240000;240000;180000;2400;5;10;15
986;;651;12000;1;240000;240000;240000;180000;2400;5;10;15
987;;652;12000;1;240000;240000;240000;180000;2400;5;10;15
988;;653;12000;1;240000;240000;240000;180000;2400;5;10;15
989;;654;12000;1;240000;240000;240000;180000;2400;5;10;15
990;;655;12000;1;240000;240000;240000;180000;2400;5;10;15
991;;656;12000;1;240000;240000;240000;180000;2400;5;10;15
992;;657;12000;1;240000;240000;240000;180000;2400;5;10;15
993;;658;12000;1;240000;240000;240000;2400000;2400;5;10;15
994;;640;18000;1;360000;360000;360000;270000;3600;5;10;10
995;;641;18000;1;360000;360000;360000;270000;3600;5;10;10
996;;642;18000;1;360000;360000;360000;270000;3600;5;10;10
997;;643;18000;1;360000;360000;360000;270000;3600;5;10;10
998;;644;18000;1;360000;360000;360000;270000;3600;5;10;10
999;;645;18000;1;360000;360000;360000;270000;3600;5;10;10
1001;;647;18000;1;360000;360000;360000;3600000;3600;5;10;10
1002;;671;5120000;1;30720000;20480000;10240000;7200000;1024000;5;10;1
1010;;377;600;1;12000;12000;12000;9000;120;5;10;300
1013;;380;3000;2;18000;18000;300000;45000;600;5;10;100
1026;;393;600;1;12000;12000;12000;9000;120;5;10;300
1027;;394;2500;2;15000;10000;250000;37500;500;5;10;100
1032;;399;600;1;12000;12000;12000;9000;120;5;10;300
1033;;400;3500;2;21000;14000;350000;52500;700;5;10;100
1067;1073;434;600;1;12000;12000;12000;9000;120;5;10;300
1071;;438;5000;2;30000;20000;500000;75000;1000;5;10;100
1072;1071;439;600;1;12000;12000;12000;9000;120;5;10;300
1073;;440;10000;2;120000;80000;1000000;150000;2000;5;10;100
1074;;442;600;1;12000;12000;12000;9000;120;5;10;300
1075;;443;600;1;12000;12000;12000;9000;120;5;10;300
1076;;444;600;1;12000;12000;12000;9000;120;5;10;300
1079;;447;600;1;12000;12000;12000;9000;120;5;10;300
1080;;448;10000;2;90000;60000;1000000;150000;2000;5;10;100
1095;;519;5000;2;24000;24000;500000;75000;1000;5;10;100
1096;;520;600;1;12000;12000;12000;9000;120;5;10;300
1099;;523;600;1;12000;12000;12000;9000;120;5;10;300
1100;;524;600;1;12000;12000;12000;9000;120;5;10;300
1102;;526;600;1;12000;12000;12000;9000;120;5;10;300
1103;;527;9000;2;54000;36000;900000;135000;1800;5;10;100
1105;;529;600;1;12000;12000;12000;9000;120;5;10;300
1106;;530;600;1;12000;12000;12000;9000;120;5;10;300
1109;;533;600;1;12000;12000;12000;9000;120;5;10;300
1112;;561;600;1;12000;12000;12000;9000;120;5;10;300
1113;;562;600;1;12000;12000;12000;9000;120;5;10;300
1114;;563;600;1;12000;12000;12000;9000;120;5;10;300
1115;;564;600;1;12000;12000;12000;9000;120;5;10;300
1116;;565;600;1;12000;12000;12000;9000;120;5;10;300
1117;;566;600;1;12000;12000;12000;9000;120;5;10;300
1118;;567;600;1;12000;12000;12000;9000;120;5;10;300
1119;;568;600;1;12000;12000;12000;9000;120;5;10;300
1120;;569;600;1;12000;12000;12000;9000;120;5;10;300
1121;;570;600;1;12000;12000;12000;9000;120;5;10;300
1122;;571;600;1;12000;12000;12000;9000;120;5;10;300
1123;;572;600;1;12000;12000;12000;9000;120;5;10;300
1124;;573;600;1;12000;12000;12000;9000;120;5;10;300
1125;;574;600;1;12000;12000;12000;9000;120;5;10;300
1126;;575;600;1;12000;12000;12000;9000;120;5;10;300
1128;;577;600;1;12000;12000;12000;9000;120;5;10;300
1129;;578;600;1;12000;12000;12000;9000;120;5;10;300
1130;;215;300;1;6000;6000;6000;4500;60;5;10;1500
1131;;216;300;1;6000;6000;6000;4500;60;5;10;1500
1132;;217;300;1;6000;6000;6000;4500;60;5;10;1500
1133;;218;300;1;6000;6000;6000;4500;60;5;10;1500
1134;;219;300;1;6000;6000;6000;4500;60;5;10;1500
1135;;220;300;1;6000;6000;6000;4500;60;5;10;1500
1136;;221;300;1;6000;6000;6000;4500;60;5;10;1500
1137;;222;300;1;6000;6000;6000;4500;60;5;10;1500
1138;;223;300;1;6000;6000;6000;4500;60;5;10;1500
1139;;224;300;1;6000;6000;6000;4500;60;5;10;1500
1140;;225;300;1;6000;6000;6000;4500;60;5;10;1500
1141;;226;300;1;6000;6000;6000;4500;60;5;10;1500
1142;;227;300;1;6000;6000;6000;4500;60;5;10;1500
1143;;228;300;1;6000;6000;6000;4500;60;5;10;1500
1144;;229;300;1;6000;6000;6000;4500;60;5;10;1500
1145;;230;300;1;6000;6000;6000;4500;60;5;10;1500
1146;;231;300;1;6000;6000;6000;4500;60;5;10;1500
1147;;232;300;1;6000;6000;6000;4500;60;5;10;1500
1148;;233;300;1;6000;6000;6000;4500;60;5;10;1500
1149;;234;300;1;6000;6000;6000;4500;60;5;10;1500
1150;;235;300;1;6000;6000;6000;4500;60;5;10;1500
1151;;236;300;1;6000;6000;6000;4500;60;5;10;1500
1152;;237;300;1;6000;6000;6000;4500;60;5;10;1500
1153;;238;300;1;6000;6000;6000;4500;60;5;10;1500
1154;;239;300;1;6000;6000;6000;4500;60;5;10;1500
1155;;240;300;1;6000;6000;6000;4500;60;5;10;1500
1156;;241;300;1;6000;6000;6000;4500;60;5;10;1500
1157;;242;300;1;6000;6000;6000;4500;60;5;10;1500
1158;;243;300;1;6000;6000;6000;4500;60;5;10;1500
1159;;244;300;1;6000;6000;6000;4500;60;5;10;1500
1160;;245;300;1;6000;6000;6000;4500;60;5;10;1500
1161;;246;300;1;6000;6000;6000;4500;60;5;10;1500
1162;;247;300;1;6000;6000;6000;4500;60;5;10;1500
1163;;248;300;1;6000;6000;6000;4500;60;5;10;1500
1164;;249;300;1;6000;6000;6000;4500;60;5;10;1500
1165;;250;300;1;6000;6000;6000;4500;60;5;10;1500
1166;;251;300;1;6000;6000;6000;4500;60;5;10;1500
1167;;252;300;1;6000;6000;6000;4500;60;5;10;1500
1168;;253;300;1;6000;6000;6000;4500;60;5;10;1500
1169;;254;300;1;6000;6000;6000;4500;60;5;10;1500
1170;;255;300;1;6000;6000;6000;4500;60;5;10;1500
1171;;256;300;1;6000;6000;6000;4500;60;5;10;1500
1172;;257;300;1;6000;6000;6000;4500;60;5;10;1500
1173;;258;300;1;6000;6000;6000;4500;60;5;10;1500
1174;;259;300;1;6000;6000;6000;4500;60;5;10;1500
1175;;260;300;1;6000;6000;6000;4500;60;5;10;1500
1176;;261;300;1;6000;6000;6000;4500;60;5;10;1500
1177;;262;300;1;6000;6000;6000;4500;60;5;10;1500
1178;;263;120;1;2400;2400;2400;24000;24;5;10;1500
1179;;264;120;1;2400;2400;2400;24000;24;5;10;1500
1184;;1183;3000;2;18000;12000;300000;45000;600;5;10;100
1186;;1185;600;1;12000;12000;12000;9000;120;5;10;300
1191;;1190;6000;2;36000;24000;600000;90000;1200;5;10;100
1196;;1195;600;1;12000;12000;12000;9000;120;5;10;300
1204;;1197;600;1;12000;12000;12000;9000;120;5;10;300
1205;;1198;3000;2;18000;12000;300000;45000;600;5;10;100
1208;;1182;600;1;12000;12000;12000;9000;120;5;10;300
1210;;580;600;1;12000;12000;12000;9000;120;5;10;300
1212;;581;600;1;12000;12000;12000;9000;120;5;10;300
1214;;1201;480;1;9600;9600;9600;7200;96;5;10;1500
1215;;265;300;1;6000;6000;6000;4500;60;5;10;1000
1216;;269;300;1;6000;6000;6000;4500;60;5;10;1500
1217;;270;120;1;2400;2400;2400;24000;24;5;5;1500
1218;;1202;120;1;2400;2400;12000;24000;24;5;5;1500
1220;;266;300;1;6000;6000;6000;4500;60;5;10;1500
1221;;267;300;1;6000;6000;6000;4500;60;5;10;1500
1237;;1236;3000;2;18000;12000;300000;45000;600;5;10;100
1245;;1244;600;1;12000;12000;12000;9000;120;5;10;300
1247;;1246;600;1;12000;12000;12000;9000;120;5;10;300
1249;;1248;4000;2;24000;16000;400000;60000;800;5;10;100
1255;;1254;600;1;12000;12000;12000;9000;120;5;10;300
1257;;1256;4000;2;24000;16000;400000;60000;800;5;10;100
1265;;1264;600;1;12000;12000;12000;9000;120;5;10;300
1267;;1266;3000;2;18000;12000;300000;45000;600;5;10;100
1275;;1274;600;1;12000;12000;12000;9000;120;5;10;300
1277;;1276;3000;2;18000;12000;300000;45000;600;5;10;100
1285;;1284;600;1;12000;12000;12000;9000;120;5;10;300
1287;;1286;3000;2;18000;12000;300000;45000;600;5;10;100
1295;;1294;600;1;12000;12000;12000;9000;120;5;10;300
1297;;1296;3000;2;18000;12000;300000;45000;600;5;10;100
1305;;1304;600;1;12000;12000;12000;9000;120;5;10;300
1307;;1306;3000;2;18000;12000;300000;45000;600;5;10;100
1318;;1317;600;1;12000;12000;12000;9000;120;5;10;300
1320;;1319;3000;2;18000;12000;300000;45000;600;5;10;100
1334;;1333;600;1;12000;12000;12000;9000;120;5;10;300
1336;;1335;3000;2;18000;12000;300000;45000;600;5;10;100
1354;;1353;600;1;12000;12000;12000;9000;120;5;10;300
1356;;1355;4000;2;24000;16000;400000;60000;800;5;10;100
1404;;1403;600;1;12000;12000;12000;9000;120;5;10;300
1406;;1405;3000;2;18000;12000;300000;45000;600;5;10;100
1423;;1422;4000;2;24000;16000;400000;60000;800;5;10;100
1437;;1436;4500;2;24000;24000;450000;67500;900;5;10;100
1446;;1445;600;1;12000;12000;12000;9000;120;5;10;300
1448;;1447;4000;2;24000;16000;400000;60000;800;5;10;100
1540;;1539;600;1;12000;12000;12000;9000;120;5;10;300
1542;;1541;4000;2;24000;16000;400000;60000;800;5;10;100
1548;;1547;600;1;12000;12000;12000;9000;120;5;10;300
1550;;1549;6000;2;24000;16000;600000;90000;1200;5;10;100
1552;;1551;600;1;12000;12000;12000;9000;120;5;10;300
1554;;1553;6000;2;24000;16000;600000;90000;1200;5;10;100
1558;;1557;600;1;12000;12000;12000;9000;120;5;10;300
1560;;1559;6000;2;24000;16000;600000;90000;1200;5;10;100
1564;;1563;600;1;12000;12000;12000;9000;120;5;10;300
1566;;1565;6000;2;24000;16000;600000;90000;1200;5;10;100
1809;;1808;600;1;12000;12000;12000;9000;120;5;10;300
1811;;1810;300;1;6000;6000;6000;4500;60;5;10;1500
1815;;1814;300;1;6000;6000;6000;4500;60;5;10;1500
1817;;1816;300;1;6000;6000;6000;4500;60;5;10;1500
1819;;1818;300;1;6000;6000;6000;4500;60;5;10;1500
1821;;1820;300;1;6000;6000;6000;4500;60;5;10;1500
1823;;1822;300;1;6000;6000;6000;4500;60;5;10;1500
1825;;1824;300;1;6000;6000;6000;4500;60;5;10;1500
1827;;1826;300;1;6000;6000;6000;4500;60;5;10;1500
1829;;1828;300;1;6000;6000;6000;4500;60;5;10;1500
1831;;1830;300;1;6000;6000;6000;4500;60;5;10;1500
1833;;1832;300;1;6000;6000;6000;4500;60;5;10;1500
1856;;1855;1000;2;24000;24000;100000;15000;200;5;10;100
1876;;1875;600;1;12000;12000;12000;9000;120;5;10;300
1878;;1877;3000;2;18000;12000;300000;45000;600;5;10;100
1945;;1944;12000;1;240000;240000;240000;180000;2400;5;10;15
2007;;2006;12000;1;240000;240000;240000;180000;2400;5;10;15
2019;;2018;600;1;12000;12000;12000;9000;120;5;10;300
2021;;2020;600;1;12000;12000;12000;9000;120;5;10;300
2023;;2022;600;1;12000;12000;12000;9000;120;5;10;300
2025;;2024;5000;2;30000;20000;500000;75000;1000;5;10;100
2033;;2032;4000;2;24000;24000;400000;60000;800;5;10;100
2039;;2038;1000;2;24000;24000;100000;15000;200;5;10;100
2047;;2046;600;1;12000;12000;12000;9000;120;5;10;300
2049;;2048;6000;2;36000;24000;600000;90000;1200;5;10;100
2118;;2117;6000;2;36000;24000;600000;90000;1200;5;10;100
2162;;2161;6000;1;120000;120000;120000;90000;1200;5;10;30
2174;;2173;480;1;9600;9600;9600;7200;96;5;10;1500
2176;;2175;2000;2;24000;16000;200000;30000;400;5;10;100
2179;;2165;300;1;6000;6000;6000;4500;60;5;10;1000
2184;;2183;480;1;9600;9600;9600;7200;96;5;10;1500
2186;;2185;2000;2;24000;16000;200000;30000;400;5;10;100
2194;;2193;480;1;9600;9600;9600;7200;96;5;10;1500
2196;;2195;3000;2;36000;24000;300000;45000;600;5;10;100
2204;;2203;480;1;9600;9600;9600;7200;96;5;10;1500
2206;;2205;1000;2;12000;8000;100000;15000;200;5;10;100
2211;;2210;300;1;6000;6000;6000;4500;60;5;10;1000
2213;;2212;300;1;6000;6000;6000;4500;60;5;10;1000
2282;;2281;12000;2;72000;48000;1200000;180000;2400;5;10;100
2290;;2289;600;1;12000;12000;12000;9000;120;5;10;300
2292;;2291;600;1;12000;12000;12000;9000;120;5;10;300
2294;;2293;600;1;12000;12000;12000;9000;120;5;10;300
2296;;2295;600;1;12000;12000;12000;9000;120;5;10;300
2298;;2297;9000;2;54000;36000;900000;135000;1800;5;10;100
2300;;2299;9000;2;54000;36000;900000;135000;1800;5;10;100
2302;;2301;9000;2;54000;36000;900000;135000;1800;5;10;100
2304;;2303;9000;2;54000;36000;900000;135000;1800;5;10;100
2332;;2331;600;1;12000;12000;12000;9000;120;5;10;300
2334;;2333;1000;2;24000;24000;100000;15000;200;5;10;100
2342;;2341;4000;2;24000;24000;400000;60000;800;5;10;100
2356;;2355;3000;2;18000;12000;300000;45000;600;5;10;100
2405;;2404;4000;2;24000;16000;400000;60000;800;5;10;100
2411;;2410;7000;2;42000;28000;700000;105000;1400;5;10;100
2421;;2420;12000;2;72000;48000;1200000;180000;2400;5;10;100
2437;;2436;3000;2;36000;24000;300000;45000;600;5;10;100
2445;;2444;480;1;9600;9600;9600;7200;96;5;10;1500
2447;;2446;3000;2;36000;24000;300000;45000;600;5;10;100
2455;;2454;480;1;9600;9600;9600;7200;96;5;10;1500
2457;;2456;1000;2;12000;8000;100000;15000;200;5;10;100
2465;;2464;480;1;9600;9600;9600;7200;96;5;10;1500
2467;;2466;1000;2;12000;8000;100000;15000;200;5;10;100
2477;;2476;480;1;9600;9600;9600;7200;96;5;10;1500
2479;;2478;3000;2;36000;24000;300000;45000;600;5;10;100
2487;;2486;480;1;9600;9600;9600;7200;96;5;10;1500
2489;;2488;1000;2;12000;8000;100000;15000;200;5;10;100
2507;;2506;300;1;6000;6000;6000;4500;60;5;10;1500
2509;;2508;300;1;6000;6000;6000;4500;60;5;10;1500
2511;;2510;300;1;6000;6000;6000;4500;60;5;10;1500
2513;;2512;300;1;6000;6000;6000;4500;60;5;10;1500
2515;;2514;300;1;6000;6000;6000;4500;60;5;10;1500
2517;;2516;300;1;6000;6000;6000;4500;60;5;10;1500
2530;;2529;600;1;12000;12000;12000;9000;120;5;10;300
2532;;2531;5000;2;30000;20000;500000;75000;1000;5;10;100
2538;;2537;600;1;12000;12000;12000;9000;120;5;10;300
2540;;2539;5000;2;30000;20000;500000;75000;1000;5;10;100
2546;;2545;600;1;12000;12000;12000;9000;120;5;10;300
2548;;2547;5000;2;30000;20000;500000;75000;1000;5;10;100
2554;;2553;5000;2;30000;20000;500000;75000;1000;5;10;100
2604;;2603;600;1;12000;12000;12000;9000;120;5;10;300
2606;;2605;3000;2;18000;12000;300000;45000;600;5;10;100
2614;;2613;20000;2;120000;80000;2000000;300000;4000;5;10;100
2622;;2621;80000;2;480000;320000;8000000;1200000;16000;5;10;100
2630;;2629;40000;2;240000;160000;4000000;600000;8000;5;10;100
2638;;2637;80000;2;480000;320000;8000000;1200000;16000;5;10;100
2648;;2647;20000;2;120000;80000;2000000;300000;4000;5;10;100
2656;;2655;40000;2;240000;160000;4000000;600000;8000;5;10;100
2680;;2679;40000;2;240000;160000;4000000;600000;8000;5;10;100
2735;;32458;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2736;;17181;8100;1;162000;162000;162000;162000;1620;5;10;5
2737;;32226;43200;1;864000;864000;864000;864000;8640;5;10;5
2738;;32250;43200;1;864000;864000;864000;864000;8640;5;10;5
2739;;28668;300;1;120;120;120;120;60;5;10;5
2740;;17182;8100;1;162000;162000;162000;162000;1620;5;10;5
2741;;17178;8100;1;162000;162000;162000;162000;1620;5;10;5
2742;;25270;10800;1;216000;216000;216000;216000;2160;5;10;5
2743;;25271;10800;1;216000;216000;216000;216000;2160;5;10;5
2744;;17982;10800;1;216000;216000;216000;216000;2160;5;10;5
2745;;25821;10800;1;216000;216000;216000;216000;2160;5;10;5
2746;;25280;10800;1;216000;216000;216000;216000;2160;5;10;5
2747;;30655;10800;1;216000;216000;216000;216000;2160;5;10;5
2748;;14343;10800;1;216000;216000;216000;216000;2160;5;10;5
2749;;24657;21600;1;432000;432000;432000;432000;4320;5;10;5
2750;;24646;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2751;;24655;17280;1;345600;345600;345600;345600;3456;5;10;5
2752;;12237;17280;1;345600;345600;345600;345600;3456;5;10;5
2753;;24653;13824;1;276480;276480;276480;276480;2765;5;10;5
2754;;24658;13824;1;276480;276480;276480;276480;2765;5;10;5
2755;;17184;10800;1;216000;216000;216000;216000;2160;5;10;5
2756;;24575;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2757;;17185;10800;1;216000;216000;216000;216000;2160;5;10;5
2758;;24660;13824;1;276480;276480;276480;276480;2765;5;10;5
2759;;17186;10800;1;216000;216000;216000;216000;2160;5;10;5
2760;;24659;13824;1;276480;276480;276480;276480;2765;5;10;5
2761;;17187;10800;1;216000;216000;216000;216000;2160;5;10;5
2762;;25305;17280;1;345600;345600;345600;345600;3456;5;10;5
2763;;17180;10800;1;216000;216000;216000;216000;2160;5;10;5
2764;;13780;13824;1;276480;276480;276480;276480;2765;5;10;5
2765;;19470;17280;1;345600;345600;345600;345600;3456;5;10;5
2766;;29613;21600;1;432000;432000;432000;432000;4320;5;10;5
2767;;12239;10800;1;216000;216000;216000;216000;2160;5;10;5
2768;;24654;17280;1;345600;345600;345600;345600;3456;5;10;5
2769;;12238;17280;1;345600;345600;345600;345600;3456;5;10;5
2770;;16220;13824;1;276480;276480;276480;276480;2765;5;10;5
2771;;24574;13824;1;276480;276480;276480;276480;2765;5;10;5
2772;;30389;13824;1;276480;276480;276480;276480;2765;5;10;5
2773;;24656;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2774;;12235;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2775;;20059;43200;1;864000;864000;864000;864000;8640;5;10;5
2776;;20060;21600;1;432000;432000;432000;432000;4320;5;10;5
2777;;16213;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2778;;20061;43200;1;864000;864000;864000;864000;8640;5;10;5
2779;;20062;21600;1;432000;432000;432000;432000;4320;5;10;5
2780;;12236;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2781;;20063;43200;1;864000;864000;864000;864000;8640;5;10;5
2782;;20064;21600;1;432000;432000;432000;432000;4320;5;10;5
2783;;16214;86400;1;1728000;1728000;1728000;1728000;17280;5;10;5
2784;;20065;43200;1;864000;864000;864000;864000;8640;5;10;5
2785;;20066;21600;1;432000;432000;432000;432000;4320;5;10;5
2786;;16221;17280;1;345600;345600;345600;345600;3456;5;10;5
2787;;17621;21600;1;432000;432000;432000;432000;4320;5;10;5
2788;;27673;43200;1;864000;864000;864000;864000;8640;5;10;5
2789;;27674;43200;1;864000;864000;864000;864000;8640;5;10;5
2790;;24684;17280;1;345600;345600;345600;345600;3456;5;10;5
2791;;16869;17280;1;345600;345600;345600;345600;3456;5;10;5
