STATIONID;SECURITY;DOCKINGCOSTPERVOLUME;MAXSHIPVOLUMEDOCKABLE;OFFICERENTALCOST;OPERATIONID;STATIONTYPEID;CORPORATIONID;SOLARSYSTEMID;CONSTELLATIONID;REGIONID;STATIONNAME;X;Y;Z;REPROCESSINGEFFICIENCY;REPROCESSINGSTATIONSTAKE;REPROCESSINGHANGARFLAG
60000034;0;0;50000000;10000;26;1531;1000002;30002648;20000388;10000032;Ardene VI - Moon 12 - CBD Corporation Storage;3,35165E+11;-66834554880;3,87372E+11;0,5;0,05;4
60000037;0;0;50000000;10000;26;1531;1000002;30002650;20000388;10000032;Ney X - Moon 12 - CBD Corporation Storage;1,23825E+12;10976993280;2682347520;0,5;0,05;4
60000040;0;0;50000000;10000;26;1531;1000002;30003393;20000495;10000042;Eiluvodi VI - Moon 14 - CBD Corporation Storage;-1,10807E+12;37901721600;3,99275E+11;0,5;0,05;4
60000043;0;0;50000000;10000;26;1531;1000002;30003393;20000495;10000042;Eiluvodi VIII - Moon 2 - CBD Corporation Storage;3,16355E+12;-1,08198E+11;-3,69095E+12;0,5;0,05;4
60000046;0;0;50000000;10000;26;1531;1000002;30003399;20000495;10000042;Vorsk IV - Moon 1 - CBD Corporation Storage;-1,05892E+11;18134016000;-64060416000;0,5;0,05;4
60000049;0;0;50000000;10000;26;1531;1000002;30003397;20000495;10000042;Bongveber IX - Moon 10 - CBD Corporation Storage;-2,61979E+11;-44508979200;5,81469E+11;0,5;0,05;4
60000052;0;0;50000000;10000;26;1531;1000002;30003395;20000495;10000042;Roleinn X - Moon 13 - CBD Corporation Storage;9,91591E+11;-51580477440;2,06439E+12;0,5;0,05;4
60000055;0;0;50000000;10000;26;1531;1000002;30003394;20000495;10000042;Freatlidur IX - Moon 15 - CBD Corporation Storage;-2,26722E+12;1,08494E+11;2,34073E+12;0,5;0,05;4
60000058;0;0;50000000;10000;26;1531;1000002;30003082;20000450;10000038;Hatori X - Moon 12 - CBD Corporation Storage;-1,69974E+12;1,46663E+11;8,25274E+11;0,5;0,05;4
60000061;0;0;50000000;10000;26;1531;1000002;30003084;20000450;10000038;Malpara II - CBD Corporation Storage;-68915404800;-1358684160;73023774720;0,5;0,05;4
60000064;0;0;50000000;10000;26;1531;1000002;30003082;20000450;10000038;Hatori X - Moon 10 - CBD Corporation Storage;-1,70033E+12;1,46715E+11;8,26992E+11;0,5;0,05;4
60000067;0;0;50000000;10000;26;1531;1000002;30003081;20000450;10000038;Ronne I - Moon 1 - CBD Corporation Storage;4826357760;-225484800;-1,08263E+11;0,5;0,05;4
60000070;0;0;50000000;10000;26;1531;1000002;30003082;20000450;10000038;Hatori IX - Moon 8 - CBD Corporation Storage;1,2121E+11;-10458193920;-8,38286E+11;0,5;0,05;4
60000073;0;0;50000000;10000;26;1531;1000002;30003083;20000450;10000038;Junsen V - Moon 20 - CBD Corporation Storage;2,1608E+12;4,14496E+11;-1,12331E+12;0,5;0,05;4
60000076;0;0;50000000;10000;26;1531;1000002;30002414;20000355;10000028;Klingt VII - Moon 2 - CBD Corporation Storage;-3,37194E+11;63504506880;-2,89446E+11;0,5;0,05;4
60000079;0;0;50000000;10000;26;1531;1000002;30002415;20000355;10000028;Weld IV - Moon 14 - CBD Corporation Storage;-9,72277E+11;13201367040;1,52528E+12;0,5;0,05;4
60000082;0;0;50000000;10000;26;1531;1000002;30002414;20000355;10000028;Klingt IV - Moon 1 - CBD Corporation Storage;92901335040;-17496023040;1,10819E+11;0,5;0,05;4
60000085;0;0;50000000;10000;26;1531;1000002;30002420;20000355;10000028;Egbinger XI - Moon 3 - CBD Corporation Storage;-3,52725E+11;-70727147520;1,37069E+12;0,5;0,05;4
60000088;0;0;50000000;10000;26;1531;1000002;30002414;20000355;10000028;Klingt V - CBD Corporation Storage;-38781788160;7309762560;-2,0877E+11;0,5;0,05;4
60000091;0;0;50000000;10000;26;1531;1000002;30002414;20000355;10000028;Klingt IX - Moon 3 - CBD Corporation Storage;6,41821E+11;-1,20874E+11;1,0551E+12;0,5;0,05;4
60000094;0;0;50000000;10000;26;1531;1000002;30003429;20000500;10000042;Geffur VIII - Moon 10 - CBD Corporation Storage;-3,76667E+11;-34467962880;1,30458E+12;0,5;0,05;4
60000097;0;0;50000000;10000;26;1531;1000002;30003432;20000500;10000042;Lumegen V - Moon 2 - CBD Corporation Storage;-59621744640;-6001090560;-6,71181E+11;0,5;0,05;4
60000100;0;0;50000000;10000;26;1531;1000002;30003430;20000500;10000042;Oppold IX - Moon 6 - CBD Corporation Storage;-4,40351E+12;-4,98864E+11;2,96852E+12;0,5;0,05;4
60000103;0;0;50000000;10000;26;1531;1000002;30003432;20000500;10000042;Lumegen I - CBD Corporation Storage;-39094640640;-3935723520;-63403991040;0,5;0,05;4
60000106;0;0;50000000;10000;26;1531;1000002;30003430;20000500;10000042;Oppold IV - Moon 1 - CBD Corporation Storage;-1,18071E+11;-13375856640;-2,02273E+11;0,5;0,05;4
60000109;0;0;50000000;10000;26;1531;1000002;30003429;20000500;10000042;Geffur VII - Moon 3 - CBD Corporation Storage;5,61277E+11;51362734080;-5,47153E+11;0,5;0,05;4
60000112;0;0;50000000;10000;26;1531;1000002;30005001;20000732;10000064;Arnon VIII - Moon 2 - CBD Corporation Storage;-2,59453E+11;-3006013440;-3,16619E+11;0,5;0,05;4
60000115;0;0;50000000;10000;26;1531;1000002;30005003;20000732;10000064;Adirain V - Moon 4 - CBD Corporation Storage;55648788480;10898104320;-5,02883E+11;0,5;0,05;4
60000118;0;0;50000000;10000;26;1531;1000002;30005004;20000732;10000064;Attyn V - Moon 2 - CBD Corporation Storage;1,63038E+12;2,18045E+11;1,11443E+12;0,5;0,05;4
60000121;0;0;50000000;10000;26;1531;1000002;30005007;20000732;10000064;Lisbaetanne I - CBD Corporation Storage;33754521600;-1452072960;-52854251520;0,5;0,05;4
60000124;0;0;50000000;10000;26;1531;1000002;30005001;20000732;10000064;Arnon XII - CBD Corporation Storage;2,62506E+12;30402109440;-3,25444E+12;0,5;0,05;4
60000127;0;0;50000000;10000;26;1531;1000002;30005001;20000732;10000064;Arnon X - Moon 8 - CBD Corporation Storage;-1,0717E+12;-12411494400;-1,06689E+11;0,5;0,05;4
60000130;0;0;50000000;10000;26;1531;1000002;30004250;20000622;10000054;Chibi VI - Moon 13 - CBD Corporation Storage;-82122547200;8119050240;5,45027E+11;0,5;0,05;4
60000133;0;0;50000000;10000;26;1531;1000002;30004253;20000622;10000054;Pahineh VII - Moon 9 - CBD Corporation Storage;7,94193E+11;-9298944000;2,18088E+11;0,5;0,05;4
60000136;0;0;50000000;10000;26;1531;1000002;30004249;20000622;10000054;Avada II - CBD Corporation Storage;77468835840;12991979520;34781306880;0,5;0,05;4
60000139;0;0;50000000;10000;26;1531;1000002;30004248;20000622;10000054;Haimeh IX - Moon 4 - CBD Corporation Storage;-1,45634E+12;2,02727E+11;6,36878E+11;0,5;0,05;4
60000142;0;0;50000000;10000;26;1531;1000002;30004250;20000622;10000054;Chibi VIII - Moon 21 - CBD Corporation Storage;-7,36036E+11;72757862400;-1,86639E+12;0,5;0,05;4
60000145;0;0;50000000;10000;26;1531;1000002;30004248;20000622;10000054;Haimeh II - CBD Corporation Storage;-55428833280;7716495360;-27634851840;0,5;0,05;4
60000148;0;0;50000000;10000;26;1531;1000002;30002513;20000368;10000030;Dammalin VI - CBD Corporation Storage;1,89263E+11;25911091200;-1,33231E+12;0,5;0,05;4
60000151;0;0;50000000;10000;26;1531;1000002;30002517;20000368;10000030;Gulmorogod VI - Moon 4 - CBD Corporation Storage;-96244654080;19418112000;3,56422E+11;0,5;0,05;4
60000154;0;0;50000000;10000;26;1531;1000002;30002515;20000368;10000030;Olfeim V - Moon 3 - CBD Corporation Storage;-6,63907E+11;35747389440;6,12627E+11;0,5;0,05;4
60000157;0;0;50000000;10000;26;1531;1000002;30002517;20000368;10000030;Gulmorogod VIII - Moon 25 - CBD Corporation Storage;2,12857E+11;-42946682880;1,49682E+12;0,5;0,05;4
60000160;0;0;50000000;10000;26;1531;1000002;30002512;20000368;10000030;Alakgur VIII - Moon 2 - CBD Corporation Storage;-2,07847E+11;9396756480;-8,97364E+11;0,5;0,05;4
60000163;0;0;50000000;10000;26;1531;1000002;30002512;20000368;10000030;Alakgur IX - Moon 9 - CBD Corporation Storage;1,47297E+12;-66592235520;1,28067E+12;0,5;0,05;4
60000166;0;0;50000000;10000;26;1531;1000002;30004295;20000627;10000054;Keba II - CBD Corporation Storage;79254773760;-14926848000;-78418206720;0,5;0,05;4
60000169;0;0;50000000;10000;26;1531;1000002;30004293;20000627;10000054;Pserz VIII - Moon 3 - CBD Corporation Storage;3,11144E+11;57304965120;1,82119E+11;0,5;0,05;4
60000172;0;0;50000000;10000;26;1531;1000002;30004292;20000627;10000054;Soza XII - Moon 14 - CBD Corporation Storage;-1,1656E+11;8914083840;1,34738E+12;0,5;0,05;4
60000175;0;0;50000000;10000;26;1531;1000002;30004293;20000627;10000054;Pserz XII - Moon 4 - CBD Corporation Storage;8,5913E+11;1,58231E+11;3,03218E+12;0,5;0,05;4
60000178;0;0;50000000;10000;26;1531;1000002;30004289;20000627;10000054;Vaini III - CBD Corporation Storage;-3,0415E+11;11314913280;5,29121E+11;0,5;0,05;4
60000181;0;0;50000000;10000;26;1531;1000002;30004295;20000627;10000054;Keba IX - Moon 1 - CBD Corporation Storage;2,75792E+11;-51945922560;-2,30002E+12;0,5;0,05;4
60000184;0;0;50000000;10000;26;1531;1000002;30001673;20000247;10000020;Shesha III - CBD Corporation Storage;2,67604E+11;49604567040;-1,84447E+11;0,5;0,05;4
60000187;0;0;50000000;10000;26;1531;1000002;30001674;20000247;10000020;Hilaban VI - Moon 1 - CBD Corporation Storage;5,58931E+12;-1,04134E+12;-3,91955E+11;0,5;0,05;4
60000190;0;0;50000000;10000;26;1531;1000002;30001674;20000247;10000020;Hilaban IV - Moon 5 - CBD Corporation Storage;2,27038E+12;-4,22991E+11;3,39602E+12;0,5;0,05;4
60000193;0;0;50000000;10000;26;1531;1000002;30001674;20000247;10000020;Hilaban III - Moon 3 - CBD Corporation Storage;-1,95922E+11;36502855680;1,2914E+12;0,5;0,05;4
60000196;0;0;50000000;10000;26;1531;1000002;30001669;20000247;10000020;Pimebeka VIII - Moon 9 - CBD Corporation Storage;-1,67435E+12;3,15553E+11;-3,03405E+11;0,5;0,05;4
60000199;0;0;50000000;10000;26;1531;1000002;30001674;20000247;10000020;Hilaban VIII - Moon 1 - CBD Corporation Storage;8,38385E+12;-1,56198E+12;6,7231E+11;0,5;0,05;4
60000202;0;0;50000000;10000;26;1531;1000002;30005032;20000736;10000065;Khabara VII - Moon 15 - CBD Corporation Storage;1,22688E+12;-18322759680;6,73251E+11;0,5;0,05;4
60000205;0;0;50000000;10000;26;1531;1000002;30005031;20000736;10000065;Nebian II - CBD Corporation Storage;67616071680;-8097177600;1,36722E+11;0,5;0,05;4
60000208;0;0;50000000;10000;26;1531;1000002;30005035;20000736;10000065;Ami V - Moon 1 - CBD Corporation Storage;1,57568E+11;-1332879360;1,43147E+11;0,5;0,05;4
60000211;0;0;50000000;10000;26;1531;1000002;30005035;20000736;10000065;Ami VI - CBD Corporation Storage;-2,56811E+11;2169692160;1,46787E+11;0,5;0,05;4
60000214;0;0;50000000;10000;26;1531;1000002;30005030;20000736;10000065;Fensi VI - Moon 10 - CBD Corporation Storage;42554204160;-5570273280;-5,88935E+11;0,5;0,05;4
60000217;0;0;50000000;10000;26;1531;1000002;30005035;20000736;10000065;Ami VII - Moon 1 - CBD Corporation Storage;2,41435E+11;-2042388480;-4,59263E+11;0,5;0,05;4
60000220;0;0;50000000;10000;26;1531;1000002;30001729;20000256;10000020;Sinid VI - CBD Corporation Storage;9,81053E+11;-1,26867E+11;4,3E+11;0,5;0,05;4
60000223;0;0;50000000;10000;26;1531;1000002;30001732;20000256;10000020;Zith IX - Moon 2 - CBD Corporation Storage;8,50012E+11;-66729615360;3,06261E+12;0,5;0,05;4
60000226;0;0;50000000;10000;26;1531;1000002;30001731;20000256;10000020;Ilas V - Moon 1 - CBD Corporation Storage;-60725698560;11157626880;-1,87898E+11;0,5;0,05;4
60000229;0;0;50000000;10000;26;1531;1000002;30001733;20000256;10000020;Tew IX - Moon 9 - CBD Corporation Storage;-6,97902E+11;1,00862E+11;-1,69118E+12;0,5;0,05;4
60000232;0;0;50000000;10000;26;1531;1000002;30001729;20000256;10000020;Sinid VI - Moon 2 - CBD Corporation Storage;9,81105E+11;-1,26874E+11;4,29751E+11;0,5;0,05;4
60000235;0;0;50000000;10000;26;1531;1000002;30001731;20000256;10000020;Ilas VII - Moon 10 - CBD Corporation Storage;4,31192E+11;-79226265600;-2,91135E+11;0,5;0,05;4
60000238;0;0;50000000;10000;26;1531;1000002;30004102;20000599;10000052;Inis-Ilix V - CBD Corporation Storage;-5,22115E+11;-44427878400;-15786762240;0,5;0,05;4
60000241;0;0;50000000;10000;26;1531;1000002;30004099;20000599;10000052;Sonama VI - Moon 12 - CBD Corporation Storage;1,48251E+12;1,07946E+11;-1,72335E+11;0,5;0,05;4
60000244;0;0;50000000;10000;26;1531;1000002;30004102;20000599;10000052;Inis-Ilix IV - Moon 1 - CBD Corporation Storage;2,91853E+11;24834478080;54901678080;0,5;0,05;4
60000247;0;0;50000000;10000;26;1531;1000002;30004099;20000599;10000052;Sonama VII - Moon 5 - CBD Corporation Storage;-1,65748E+12;-1,20685E+11;-2,31527E+12;0,5;0,05;4
60000250;0;0;50000000;10000;26;1531;1000002;30004103;20000599;10000052;Kothe X - Moon 6 - CBD Corporation Storage;1,96297E+12;-2,81787E+11;3,09116E+12;0,5;0,05;4
60000253;0;0;50000000;10000;26;1531;1000002;30004101;20000599;10000052;Suner VII - Moon 16 - CBD Corporation Storage;2,18122E+12;-11047772160;1,75648E+12;0,5;0,05;4
60000256;0;0;50000000;10000;26;1531;1000002;30001399;20000205;10000016;Elonaya X - Moon 22 - CBD Corporation Storage;7,43152E+11;93873070080;-8,64016E+11;0,5;0,05;4
60000259;0;0;50000000;10000;26;1531;1000002;30001401;20000205;10000016;Nonni VI - CBD Corporation Storage;-8,45254E+11;1,32294E+11;2,13408E+11;0,5;0,05;4
60000262;0;0;50000000;10000;26;1531;1000002;30001401;20000205;10000016;Nonni IV - CBD Corporation Storage;1,84684E+11;-28905431040;-2,06018E+11;0,5;0,05;4
60000265;0;0;50000000;10000;26;1531;1000002;30001403;20000205;10000016;Piak II - Moon 3 - CBD Corporation Storage;1,94211E+11;33575854080;-5,60669E+11;0,5;0,05;4
60000268;0;0;50000000;10000;26;1531;1000002;30001401;20000205;10000016;Nonni III - CBD Corporation Storage;1,48531E+11;-23244840960;1,75728E+11;0,5;0,05;4
60000271;0;0;50000000;10000;26;1531;1000002;30001399;20000205;10000016;Elonaya X - Moon 11 - CBD Corporation Storage;7,51584E+11;94938193920;-8,71651E+11;0,5;0,05;4
60000274;0;0;50000000;10000;26;1531;1000003;30000149;20000021;10000002;Gekutami V - Moon 1 - Prompt Delivery Storage;4,89281E+11;-41618104320;-1,97582E+11;0,5;0,05;4
60000277;0;0;50000000;10000;26;1531;1000003;30000148;20000021;10000002;Jakanerva III - Moon 15 - Prompt Delivery Storage;1,65632E+11;2771804160;-2,45533E+12;0,5;0,05;4
60000280;0;0;50000000;10000;26;1531;1000003;30000149;20000021;10000002;Gekutami VII - Moon 3 - Prompt Delivery Storage;-1,04957E+12;89275637760;-7,99236E+11;0,5;0,05;4
60000283;0;0;50000000;10000;26;1531;1000003;30000120;20000017;10000002;Mitsolen IV - Moon 9 - Prompt Delivery Storage;1,78046E+11;30796800000;2,24824E+11;0,5;0,05;4
60000286;0;0;50000000;10000;26;1531;1000003;30000121;20000017;10000002;Jatate III - Moon 10 - Prompt Delivery Storage;-1,05431E+11;-3500236800;3,5986E+11;0,5;0,05;4
60000289;0;0;50000000;10000;26;1531;1000003;30000121;20000017;10000002;Jatate IV - Moon 17 - Prompt Delivery Storage;2,09155E+12;69442068480;1,62595E+12;0,5;0,05;4
60000292;0;0;50000000;10000;26;1531;1000003;30000126;20000018;10000002;Geras IX - Moon 7 - Prompt Delivery Storage;1,19167E+11;-2177310720;1,32129E+12;0,5;0,05;4
60000295;0;0;50000000;10000;26;1531;1000003;30000130;20000018;10000002;Shihuken VII - Moon 10 - Prompt Delivery Storage;6,71701E+11;1,15793E+11;92180520960;0,5;0,05;4
60000298;0;0;50000000;10000;26;1531;1000003;30000129;20000018;10000002;Unpas VIII - Moon 11 - Prompt Delivery Storage;7,47299E+11;-54877839360;7,92042E+11;0,5;0,05;4
60000301;0;0;50000000;10000;26;1531;1000003;30000188;20000027;10000002;Hentogaira III - Moon 6 - Prompt Delivery Storage;1,35881E+11;-11557969920;4,91247E+12;0,5;0,05;4
60000304;0;0;50000000;10000;26;1531;1000003;30000188;20000027;10000002;Hentogaira IV - Prompt Delivery Storage;-2,63698E+12;2,24298E+11;6,73999E+12;0,5;0,05;4
60000307;0;0;50000000;10000;26;1531;1000003;30000189;20000027;10000002;Kiainti IX - Moon 8 - Prompt Delivery Storage;-9,78305E+11;5481308160;1,61378E+12;0,5;0,05;4
60000310;0;0;50000000;10000;26;1531;1000004;30001399;20000205;10000016;Elonaya X - Moon 21 - Ytiri Storage;7,55623E+11;95448145920;-8,64234E+11;0,5;0,05;4
60000313;0;0;50000000;10000;26;1531;1000004;30001403;20000205;10000016;Piak IV - Moon 22 - Ytiri Storage;5,1962E+12;8,98334E+11;-9,56388E+11;0,5;0,05;4
60000316;0;0;50000000;10000;26;1531;1000004;30001403;20000205;10000016;Piak III - Moon 19 - Ytiri Storage;1,15416E+12;1,99538E+11;1,00764E+12;0,5;0,05;4
60000319;0;0;50000000;10000;26;1531;1000004;30001398;20000205;10000016;Aunenen VII - Moon 1 - Ytiri Storage;2,1814E+12;-77584834560;3,59899E+12;0,5;0,05;4
60000322;0;0;50000000;10000;26;1531;1000004;30002744;20000402;10000033;Auviken V - Moon 6 - Ytiri Storage;-1,37194E+11;11895644160;4,92372E+11;0,5;0,05;4
60000325;0;0;50000000;10000;26;1531;1000004;30002746;20000402;10000033;Oijamon III - Moon 12 - Ytiri Storage;-33992171520;-4781629440;-3,17874E+11;0,5;0,05;4
60000328;0;0;50000000;10000;26;1531;1000004;30002748;20000402;10000033;Jeras VII - Moon 15 - Ytiri Storage;4,63733E+11;18269921280;-2,06179E+12;0,5;0,05;4
60000331;0;0;50000000;10000;26;1531;1000004;30002748;20000402;10000033;Jeras VII - Moon 1 - Ytiri Storage;4,68035E+11;18439987200;-2,06012E+12;0,5;0,05;4
60000334;0;0;50000000;10000;26;1531;1000004;30001386;20000203;10000016;Saatuban IX - Moon 1 - Ytiri Storage;-2,25224E+12;-4,02494E+11;-9,29487E+11;0,5;0,05;4
60000337;0;0;50000000;10000;26;1531;1000004;30001387;20000203;10000016;Isikano VIII - Moon 7 - Ytiri Storage;-9,35873E+11;-1,8438E+11;-7,23415E+11;0,5;0,05;4
60000340;0;0;50000000;10000;26;1531;1000004;30001391;20000203;10000016;Piekura VII - Moon 1 - Ytiri Storage;-5,89529E+11;-49064878080;92128419840;0,5;0,05;4
60000343;0;0;50000000;10000;26;1531;1000004;30001387;20000203;10000016;Isikano VII - Moon 5 - Ytiri Storage;-5,5764E+11;-1,09863E+11;4,83257E+11;0,5;0,05;4
60000346;0;0;50000000;10000;26;1531;1000004;30001370;20000200;10000016;Ouranienen IV - Ytiri Storage;4,64492E+11;-86334382080;-1,23179E+11;0,5;0,05;4
60000349;0;0;50000000;10000;26;1531;1000004;30001373;20000200;10000016;Raussinen X - Moon 3 - Ytiri Storage;-1,40868E+12;2,79308E+11;-1,11324E+12;0,5;0,05;4
60000352;0;0;50000000;10000;26;1531;1000004;30001368;20000200;10000016;Uemisaisen VIII - Moon 10 - Ytiri Storage;-1,61935E+12;2,05073E+11;2,71269E+12;0,5;0,05;4
60000355;0;0;50000000;10000;26;1531;1000004;30001372;20000200;10000016;Kino VII - Moon 13 - Ytiri Storage;6,32787E+11;13068410880;1,51707E+12;0,5;0,05;4
60000358;0;0;50000000;10000;26;1531;1000004;30000144;20000020;10000002;Perimeter VI - Ytiri Storage;-5,01696E+11;-33948426240;96983900160;0,5;0,05;4
60000361;0;0;50000000;10000;26;1531;1000004;30000142;20000020;10000002;Jita IV - Moon 6 - Ytiri Storage;-1,07073E+11;-18704916480;4,36344E+11;0,5;0,05;4
60000364;0;0;50000000;10000;26;1531;1000004;30000142;20000020;10000002;Jita V - Moon 14 - Ytiri Storage;-6,46276E+11;-1,129E+11;-1,12027E+12;0,5;0,05;4
60000367;0;0;50000000;10000;26;1531;1000004;30000139;20000020;10000002;Urlen VII - Moon 8 - Ytiri Storage;-41902448640;-5467791360;-8,86119E+11;0,5;0,05;4
60000370;0;0;50000000;10000;26;1531;1000004;30001379;20000201;10000016;Tunttaras IX - Moon 11 - Ytiri Storage;9,38825E+11;21588664320;-9,68521E+11;0,5;0,05;4
60000373;0;0;50000000;10000;26;1531;1000004;30001374;20000201;10000016;Iidoken VI - Moon 8 - Ytiri Storage;3,27833E+11;-13150986240;4,56681E+11;0,5;0,05;4
60000376;0;0;50000000;10000;26;1531;1000004;30001376;20000201;10000016;Nourvukaiken VII - Moon 18 - Ytiri Storage;1,49673E+12;-1,22643E+11;-7,56385E+11;0,5;0,05;4
60000379;0;0;50000000;10000;26;1531;1000004;30001375;20000201;10000016;Tsuguwa IV - Moon 15 - Ytiri Storage;1,40677E+12;1,65226E+11;-9,87174E+11;0,5;0,05;4
60000382;0;0;50000000;10000;26;1531;1000004;30000192;20000027;10000002;Otanuomi IV - Moon 5 - Ytiri Storage;3,3371E+11;-19070361600;4,03623E+11;0,5;0,05;4
60000385;0;0;50000000;10000;26;1531;1000004;30000193;20000027;10000002;Vouskiaho IV - Moon 1 - Ytiri Storage;-1,44516E+11;-12105768960;-5,11342E+11;0,5;0,05;4
60000388;0;0;50000000;10000;26;1531;1000004;30000193;20000027;10000002;Vouskiaho VI - Moon 14 - Ytiri Storage;1,55568E+12;1,30312E+11;-8,88003E+11;0,5;0,05;4
60000391;0;0;50000000;10000;26;1531;1000004;30000192;20000027;10000002;Otanuomi VI - Moon 9 - Ytiri Storage;-2,31416E+12;1,32244E+11;1,96702E+12;0,5;0,05;4
60000394;0;0;50000000;10000;26;1531;1000004;30000138;20000019;10000002;Ikuchi VI - Moon 15 - Ytiri Storage;1,55218E+11;10764410880;2,11473E+12;0,5;0,05;4
60000397;0;0;50000000;10000;26;1531;1000004;30000136;20000019;10000002;Ohmahailen IV - Moon 2 - Ytiri Storage;-3,21772E+11;10344652800;-1,28696E+11;0,5;0,05;4
60000400;0;0;50000000;10000;26;1531;1000004;30000133;20000019;10000002;Hirtamon VI - Moon 6 - Ytiri Storage;-1,78177E+11;-5192785920;-7,3215E+11;0,5;0,05;4
60000403;0;0;50000000;10000;26;1531;1000004;30000138;20000019;10000002;Ikuchi VI - Moon 6 - Ytiri Storage;1,44738E+11;10037944320;2,1224E+12;0,5;0,05;4
60000406;0;0;50000000;10000;26;1531;1000004;30002766;20000405;10000033;Iivinen X - Moon 2 - Ytiri Storage;1,70792E+12;-2,86853E+11;3,5495E+12;0,5;0,05;4
60000409;0;0;50000000;10000;26;1531;1000004;30002764;20000405;10000033;Hatakani VIII - Moon 17 - Ytiri Storage;-4,66895E+12;3,19051E+11;-5,66826E+11;0,5;0,05;4
60000412;0;0;50000000;10000;26;1531;1000004;30002764;20000405;10000033;Hatakani VIII - Moon 11 - Ytiri Storage;-4,63608E+12;3,16806E+11;-5,16365E+11;0,5;0,05;4
60000415;0;0;50000000;10000;26;1531;1000004;30002766;20000405;10000033;Iivinen VIII - Moon 8 - Ytiri Storage;1,03561E+12;-1,73935E+11;3,11531E+11;0,5;0,05;4
60000418;0;0;50000000;10000;26;1531;1000004;30002818;20000413;10000033;Oichiya VII - Moon 6 - Ytiri Storage;-3,35513E+12;6,34448E+11;1,95195E+11;0,5;0,05;4
60000421;0;0;50000000;10000;26;1531;1000004;30002816;20000413;10000033;Saila VII - Moon 15 - Ytiri Storage;-8,63157E+11;1,65508E+11;8,58611E+11;0,5;0,05;4
60000424;0;0;50000000;10000;26;1531;1000004;30002817;20000413;10000033;Aramachi II - Moon 2 - Ytiri Storage;-77715824640;-5768847360;1,78871E+11;0,5;0,05;4
60000427;0;0;50000000;10000;26;1531;1000004;30002815;20000413;10000033;Isenairos VII - Moon 4 - Ytiri Storage;6,10006E+11;-2671779840;2,11358E+12;0,5;0,05;4
60000430;0;0;50000000;10000;9;4023;1000005;30002801;20000411;10000033;Suroken VII - Moon 2 - Hyasyoda Corporation Mineral Reserve;76474982400;11697561600;-2,33175E+11;0,5;0,05;4
60000433;0;0;50000000;10000;7;4023;1000005;30002802;20000411;10000033;Kusomonmon VI - Moon 4 - Hyasyoda Corporation Mining Outpost;-1,11253E+12;-64622223360;-4,04903E+12;0,32;0,05;4
60000436;0;0;50000000;10000;7;4023;1000005;30002802;20000411;10000033;Kusomonmon IV - Moon 4 - Hyasyoda Corporation Mining Outpost;5,81514E+11;33778114560;32447569920;0,32;0,05;4
60000439;0;0;50000000;10000;7;4023;1000005;30002804;20000411;10000033;Isikesu IV - Moon 14 - Hyasyoda Corporation Mining Outpost;8,7979E+11;-1,78252E+11;37569699840;0,32;0,05;4
