REGIONID;CONSTELLATIONID;CONSTELLATIONNAME;X;Y;Z;XMIN;XMAX;YMIN;YMAX;ZMIN;ZMAX;FACTIONID;RADIUS
10000002;20000021;Okomon;-9,69308E+16;6,66715E+16;1,01741E+17;-1,07736E+17;-8,61253E+16;5,96261E+16;7,37169E+16;-1,16755E+17;-8,67275E+16;500001;1,50136E+16
10000002;20000022;Onirvura;-9,05071E+16;8,25506E+16;9,74692E+16;-9,83398E+16;-8,26744E+16;7,33226E+16;9,17787E+16;-1,01436E+17;-9,3502E+16;500001;9,22806E+15
10000002;20000023;Ihatalo;-7,03224E+16;5,37183E+16;8,82489E+16;-8,1145E+16;-5,94998E+16;4,39626E+16;6,3474E+16;-9,43262E+16;-8,21716E+16;500001;1,08226E+16
10000002;20000024;Okkelen;-7,41878E+16;9,26797E+16;1,19744E+17;-8,11484E+16;-6,72273E+16;8,30952E+16;1,02264E+17;-1,23822E+17;-1,15665E+17;500001;9,58447E+15
10000002;20000025;Otsabaira;-8,93659E+16;7,80983E+16;1,22815E+17;-9,54715E+16;-8,32602E+16;6,72807E+16;8,8916E+16;-1,2916E+17;-1,1647E+17;500001;1,08177E+16
10000002;20000026;Aulari;-7,08315E+16;9,28996E+16;9,92141E+16;-7,99112E+16;-6,17518E+16;8,14241E+16;1,04375E+17;-1,05754E+17;-9,26743E+16;500001;1,14755E+16
10000002;20000027;Etsala;-9,17947E+16;7,95373E+16;1,36024E+17;-9,84573E+16;-8,51321E+16;7,52638E+16;8,38109E+16;-1,42704E+17;-1,29344E+17;500001;6,67993E+15
10000002;20000028;Mivora;-4,9195E+16;3,51546E+16;8,0627E+16;-5,61066E+16;-4,22834E+16;3,02929E+16;4,00163E+16;-8,33173E+16;-7,79368E+16;500001;6,91161E+15
10000002;20000029;Orpana;-9,77663E+16;7,14812E+16;1,44453E+17;-1,06151E+17;-8,93814E+16;6,4606E+16;7,83564E+16;-1,47778E+17;-1,41127E+17;500001;8,3849E+15
10000003;20000030;U29-0S;-6,65131E+16;1,06333E+17;1,65988E+17;-7,09222E+16;-6,21041E+16;9,8904E+16;1,13761E+17;-1,75641E+17;-1,56334E+17;;9,65378E+15
10000003;20000031;BUG6-X;-9,53718E+16;6,86213E+16;1,98067E+17;-1,01435E+17;-8,93086E+16;6,01744E+16;7,70681E+16;-2,0494E+17;-1,91194E+17;;8,44689E+15
10000003;20000032;OSJ7-I;-5,00826E+16;8,73625E+16;1,58787E+17;-6,7201E+16;-3,29642E+16;7,65177E+16;9,82073E+16;-1,6814E+17;-1,49434E+17;;1,71184E+16
10000003;20000033;DMXN-3;-9,92338E+16;1,31255E+17;2,09771E+17;-1,09456E+17;-8,90111E+16;1,16894E+17;1,45615E+17;-2,14695E+17;-2,04847E+17;;1,43607E+16
10000003;20000034;I89-EP;-7,73074E+16;9,94298E+16;1,91828E+17;-8,47544E+16;-6,98605E+16;8,87615E+16;1,10098E+17;-1,96782E+17;-1,86874E+17;;1,06683E+16
10000003;20000035;Z-DO53;-9,5979E+16;9,11042E+16;1,87989E+17;-1,03272E+17;-8,86859E+16;7,76959E+16;1,04513E+17;-2,01946E+17;-1,74032E+17;;1,39567E+16
10000003;20000036;YUT3-U;-9,69596E+16;1,15977E+17;1,78172E+17;-1,07342E+17;-8,65769E+16;1,0764E+17;1,24314E+17;-1,82194E+17;-1,7415E+17;;1,03826E+16
10000003;20000037;5YHF-H;-6,94607E+16;1,07278E+17;2,11862E+17;-7,4859E+16;-6,40625E+16;9,64809E+16;1,18075E+17;-2,21742E+17;-2,01982E+17;;1,07968E+16
10000003;20000038;UK-MI6;-5,24584E+16;1,16744E+17;1,6194E+17;-5,72204E+16;-4,76965E+16;1,03573E+17;1,29915E+17;-1,69905E+17;-1,53975E+17;;1,31708E+16
10000003;20000039;YDS0-Y;-3,76111E+16;1,04567E+17;1,4389E+17;-4,77089E+16;-2,75133E+16;8,95853E+16;1,19549E+17;-1,50645E+17;-1,37134E+17;;1,4982E+16
10000003;20000040;A3-T8B;-1,56E+16;5,82042E+16;1,46095E+17;-3,0336E+16;-8,63943E+14;4,62325E+16;7,01759E+16;-1,55435E+17;-1,36755E+17;;1,4736E+16
10000003;20000041;DILJ-7;-5,55574E+16;1,03992E+17;1,75235E+17;-6,11081E+16;-5,00067E+16;9,61718E+16;1,11811E+17;-1,80891E+17;-1,6958E+17;;7,8197E+15
10000003;20000042;0-8MWQ;-1,97105E+16;8,4738E+16;1,67962E+17;-2,56009E+16;-1,38201E+16;7,96342E+16;8,98418E+16;-1,79945E+17;-1,55978E+17;;1,19834E+16
10000003;20000043;F-V9QW;-5,46555E+16;1,23109E+17;2,1888E+17;-6,05116E+16;-4,87993E+16;1,16132E+17;1,30085E+17;-2,27966E+17;-2,09793E+17;;9,08613E+15
10000003;20000044;E-8CSQ;-1,51467E+15;8,1653E+16;1,75436E+17;-1,05328E+16;7,5035E+15;7,46997E+16;8,86062E+16;-1,81349E+17;-1,69523E+17;;9,01817E+15
10000003;20000045;9KX-M0;1,10951E+16;9,0542E+16;1,60705E+17;3,57359E+14;2,18329E+16;8,16432E+16;9,94408E+16;-1,67799E+17;-1,53612E+17;;1,07378E+16
10000003;20000046;88G-M4;7,98449E+15;6,89142E+16;1,68077E+17;2,14388E+15;1,38251E+16;5,79283E+16;7,99001E+16;-1,7252E+17;-1,63635E+17;;1,09859E+16
10000004;20000047;L5-H1O;1,12345E+17;5,82493E+16;2,07924E+17;9,96532E+16;1,25037E+17;5,10316E+16;6,54669E+16;-2,19677E+17;-1,96171E+17;;1,26919E+16
10000004;20000048;J-4QD7;8,22351E+16;6,87639E+16;1,93469E+17;7,49201E+16;8,955E+16;5,62076E+16;8,13203E+16;-1,96099E+17;-1,90838E+17;;1,25563E+16
10000004;20000049;LC-AQD;9,53656E+16;3,76914E+16;1,91008E+17;8,71228E+16;1,03608E+17;2,57276E+16;4,96552E+16;-2,03523E+17;-1,78493E+17;;1,25149E+16
10000004;20000050;7PUP-K;7,435E+16;5,79803E+16;2,37708E+17;6,92655E+16;7,94344E+16;4,87297E+16;6,7231E+16;-2,41913E+17;-2,33502E+17;;9,25066E+15
10000004;20000051;V8UW-M;9,88505E+16;7,95596E+16;2,58638E+17;8,90399E+16;1,08661E+17;6,27159E+16;9,64033E+16;-2,77895E+17;-2,39381E+17;;1,92574E+16
10000004;20000052;T7B-VB;9,32584E+16;5,53135E+16;2,29856E+17;8,46053E+16;1,01911E+17;3,95568E+16;7,10702E+16;-2,47501E+17;-2,1221E+17;;1,76453E+16
10000004;20000053;B-PHYN;8,72742E+16;5,21643E+16;2,5977E+17;7,87031E+16;9,58453E+16;3,21283E+16;7,22004E+16;-2,70231E+17;-2,4931E+17;;2,0036E+16
10000004;20000054;9RW5-Z;8,78857E+16;1,3865E+16;1,64377E+17;8,14995E+16;9,42719E+16;7,42445E+15;2,03056E+16;-1,74086E+17;-1,54668E+17;;9,70898E+15
10000004;20000055;VL-OGL;9,39139E+16;7,66616E+16;2,95692E+17;8,97808E+16;9,8047E+16;6,25208E+16;9,08023E+16;-3,07549E+17;-2,83835E+17;;1,41407E+16
10000004;20000056;VW-JMB;7,90555E+16;5,61509E+16;3,07329E+17;7,37237E+16;8,43872E+16;4,61755E+16;6,61263E+16;-3,12478E+17;-3,02181E+17;;9,97539E+15
10000004;20000057;HN5-RL;9,91956E+16;8,07556E+16;3,26046E+17;9,59449E+16;1,02446E+17;6,66974E+16;9,48137E+16;-3,36013E+17;-3,16079E+17;;1,40582E+16
10000004;20000058;RO-AZT;1,01486E+17;9,02756E+16;3,09565E+17;9,25816E+16;1,1039E+17;7,92503E+16;1,01301E+17;-3,17678E+17;-3,01452E+17;;1,10253E+16
10000004;20000059;KCR-1E;9,80354E+16;9,38794E+16;3,57447E+17;9,26371E+16;1,03434E+17;8,86153E+16;9,91436E+16;-3,6683E+17;-3,48063E+17;;9,38372E+15
10000004;20000060;FL-TD4;6,73908E+16;8,88202E+16;2,60266E+17;5,8665E+16;7,61167E+16;8,01548E+16;9,74855E+16;-2,69018E+17;-2,51515E+17;;8,7517E+15
10000004;20000061;B-HLOG;1,10741E+17;9,56952E+16;3,67084E+17;9,96007E+16;1,21881E+17;8,39275E+16;1,07463E+17;-3,74493E+17;-3,59674E+17;;1,17676E+16
10000004;20000062;0VFS-G;8,19186E+16;8,67333E+16;3,80774E+17;7,37281E+16;9,01092E+16;7,69155E+16;9,65512E+16;-3,86138E+17;-3,75411E+17;;9,81785E+15
10000005;20000063;GJH-1C;9,56164E+16;-3,1515E+16;-1,64749E+17;8,3872E+16;1,07361E+17;-4,33114E+16;-1,97187E+16;1,53665E+17;1,75833E+17;;1,17963E+16
10000005;20000064;RFQ-8Y;1,3366E+17;-1,62289E+16;-1,90274E+17;1,21181E+17;1,4614E+17;-2,36124E+16;-8,84542E+15;1,79579E+17;2,00968E+17;;1,24798E+16
10000005;20000065;MZ-PA2;7,74968E+16;-1,54424E+16;-2,03155E+17;6,78837E+16;8,711E+16;-2,66274E+16;-4,25731E+15;1,94347E+17;2,11964E+17;;1,1185E+16
10000005;20000066;5F8-PZ;1,24874E+17;-2,9802E+16;-1,66005E+17;1,12576E+17;1,37173E+17;-3,89976E+16;-2,06065E+16;1,52957E+17;1,79054E+17;;1,30485E+16
10000005;20000067;PR-ACX;1,06726E+17;-3,04089E+16;-1,86129E+17;9,68837E+16;1,16568E+17;-4,19229E+16;-1,88949E+16;1,78657E+17;1,93601E+17;;1,1514E+16
10000005;20000068;5P4-QA;1,46182E+17;-1,84577E+16;-2,11756E+17;1,3551E+17;1,56854E+17;-2,70789E+16;-9,83649E+15;2,03595E+17;2,19917E+17;;1,06716E+16
10000005;20000069;1RG-GU;6,58958E+16;-2,41409E+16;-2,05869E+17;6,188E+16;6,99115E+16;-3,44222E+16;-1,38597E+16;1,96479E+17;2,1526E+17;;1,02812E+16
10000005;20000070;ZPI-2E;1,68633E+17;-3,47534E+16;-2,28036E+17;1,60613E+17;1,76654E+17;-5,16192E+16;-1,78876E+16;2,13466E+17;2,42605E+17;;1,68658E+16
10000005;20000071;D-95MV;1,11412E+17;-1,20627E+16;-2,07213E+17;9,48174E+16;1,28007E+17;-2,33447E+16;-7,80678E+14;2,02848E+17;2,11579E+17;;1,65946E+16
10000005;20000072;3R-BJL;2,08995E+17;-1,2953E+16;-1,94787E+17;1,89905E+17;2,28084E+17;-1,9983E+16;-5,92295E+15;1,86772E+17;2,02803E+17;;1,90896E+16
10000005;20000073;T875-C;8,18116E+16;-5,07203E+16;-2,10097E+17;6,68845E+16;9,67387E+16;-6,13208E+16;-4,01199E+16;2,01877E+17;2,18318E+17;;1,49271E+16
10000005;20000074;4SRW-B;6,85196E+16;-1,67888E+16;-2,27534E+17;6,33556E+16;7,36836E+16;-2,95315E+16;-4,0461E+15;2,18109E+17;2,36959E+17;;1,27427E+16
10000005;20000075;HOV-VI;5,80859E+16;-2,88773E+16;-2,19987E+17;4,94829E+16;6,66889E+16;-3,94232E+16;-1,83314E+16;2,17114E+17;2,2286E+17;;1,05459E+16
10000005;20000076;NZU8-G;1,36909E+17;-3,47851E+16;-2,04137E+17;1,24232E+17;1,49586E+17;-4,3575E+16;-2,59952E+16;1,97881E+17;2,10393E+17;;1,2677E+16
10000006;20000077;0FC-ZX;1,22073E+17;-1,67797E+16;-1,5762E+17;1,1067E+17;1,33476E+17;-2,8341E+16;-5,21847E+15;1,5091E+17;1,64329E+17;;1,15612E+16
10000006;20000078;AC-RON;1,37371E+17;8,23243E+15;-1,49783E+17;1,30598E+17;1,44144E+17;-1,29004E+15;1,77549E+16;1,42019E+17;1,57548E+17;;9,52247E+15
10000006;20000079;RF9-ZU;1,07843E+17;2,81264E+15;-1,76706E+17;9,84978E+16;1,17188E+17;-5,11172E+15;1,0737E+16;1,67652E+17;1,8576E+17;;9,34505E+15
10000006;20000080;DJ-XCW;1,04747E+17;-1,65972E+15;-1,4443E+17;9,76188E+16;1,11875E+17;-1,25326E+16;9,21319E+15;1,38076E+17;1,50784E+17;;1,08729E+16
10000006;20000081;3GK-WS;9,10643E+16;9,68471E+15;-1,49712E+17;8,51247E+16;9,70039E+16;9,28165E+14;1,84413E+16;1,36354E+17;1,6307E+17;;1,3358E+16
10000006;20000082;5ZR-29;7,0927E+16;3,83981E+15;-1,47035E+17;6,6356E+16;7,54979E+16;-8,89923E+15;1,65789E+16;1,4461E+17;1,4946E+17;;1,2739E+16
10000006;20000083;J-9M7D;5,50943E+16;6,47089E+15;-1,83027E+17;4,81669E+16;6,20216E+16;1,5379E+15;1,14039E+16;1,77003E+17;1,8905E+17;;6,92735E+15
10000006;20000084;R-M719;7,04816E+16;4,7159E+15;-1,72631E+17;6,43152E+16;7,66481E+16;-8,98717E+15;1,8419E+16;1,64235E+17;1,81027E+17;;1,37031E+16
10000006;20000085;5Y1E-3;1,14255E+17;1,61705E+16;-1,56522E+17;1,06668E+17;1,21843E+17;8,02137E+15;2,43196E+16;1,52592E+17;1,60452E+17;;8,14912E+15
10000006;20000086;760-9C;9,92771E+16;-1,30433E+16;-1,62926E+17;8,82175E+16;1,10337E+17;-1,9022E+16;-7,06456E+15;1,5794E+17;1,67912E+17;;1,10596E+16
10000006;20000087;4-QV2L;8,33542E+16;2,18632E+16;-1,80582E+17;7,18145E+16;9,4894E+16;1,62968E+16;2,74295E+16;1,75909E+17;1,85255E+17;;1,15397E+16
10000006;20000088;GU-JZ1;8,36476E+16;-6,95534E+15;-1,42341E+17;7,63691E+16;9,09261E+16;-1,8932E+16;5,02129E+15;1,39618E+17;1,45065E+17;;1,19766E+16
10000007;20000089;BVA-YH;2,20534E+17;7,17523E+15;-1,06355E+17;2,11903E+17;2,29166E+17;1,38099E+15;1,29695E+16;9,87426E+16;1,13967E+17;;8,63136E+15
10000007;20000090;VS-8P0;1,83952E+17;9,76123E+15;-1,20228E+17;1,68486E+17;1,99417E+17;2,89827E+15;1,66242E+16;1,12536E+17;1,27921E+17;;1,54655E+16
10000007;20000091;5HN-S5;2,24115E+17;-1,55829E+16;-8,52587E+16;2,14089E+17;2,34141E+17;-2,80788E+16;-3,08692E+15;6,91246E+16;1,01393E+17;;1,61341E+16
10000007;20000092;Y-JSM8;2,53779E+17;4,64006E+15;-9,87505E+16;2,31876E+17;2,75683E+17;-7,90541E+15;1,71855E+16;8,94899E+16;1,08011E+17;;2,19033E+16
10000007;20000093;VSC-W9;2,87529E+17;-1,88957E+16;-7,71646E+16;2,77547E+17;2,97511E+17;-3,21994E+16;-5,59194E+15;7,04528E+16;8,38763E+16;;1,33037E+16
10000007;20000094;FQ-COP;3,05504E+17;-4,21315E+16;-8,82631E+16;2,91962E+17;3,19046E+17;-5,42688E+16;-2,99942E+16;8,33592E+16;9,31669E+16;;1,35416E+16
10000007;20000095;MRC-29;2,82433E+17;-1,11491E+16;-4,99181E+16;2,67345E+17;2,97521E+17;-3,60975E+16;1,37993E+16;4,43263E+16;5,551E+16;;2,49484E+16
10000008;20000096;51ZT-6;4,74343E+16;1,26862E+16;-1,49423E+17;3,24188E+16;6,24497E+16;-3,39436E+15;2,87667E+16;1,35347E+17;1,63499E+17;;1,60806E+16
10000008;20000097;4YFT-F;5,16506E+16;6,43264E+15;-1,29756E+17;3,74711E+16;6,58301E+16;-4,57916E+15;1,74444E+16;1,21626E+17;1,37886E+17;;1,41795E+16
10000008;20000098;P-I9PF;3,25078E+16;3,1715E+16;-1,19041E+17;2,58023E+16;3,92132E+16;2,64173E+16;3,70127E+16;1,10858E+17;1,27225E+17;;8,1834E+15
10000008;20000099;ENP-SH;8,1175E+16;1,21542E+16;-1,30055E+17;6,88272E+16;9,35228E+16;-1,97269E+15;2,62811E+16;1,18579E+17;1,41531E+17;;1,41269E+16
10000008;20000100;Y-M7ML;1,86367E+16;-2,14857E+16;-1,58066E+17;1,25546E+16;2,47187E+16;-2,61765E+16;-1,67949E+16;1,48121E+17;1,6801E+17;;9,94436E+15
10000008;20000101;QI1M-Q;3,79538E+16;2,7714E+16;-1,72427E+17;3,34842E+16;4,24234E+16;2,34178E+16;3,20102E+16;1,60735E+17;1,8412E+17;;1,16925E+16
10000008;20000102;7VJ-7M;4,33974E+16;-1,9191E+16;-1,34613E+17;3,51276E+16;5,16673E+16;-2,73376E+16;-1,10443E+16;1,27524E+17;1,41702E+17;;8,26987E+15
10000008;20000103;02QH-A;8,09944E+16;1,76895E+15;-1,03993E+17;7,75662E+16;8,44226E+16;-6,6315E+15;1,01694E+16;9,69734E+16;1,11013E+17;;8,40045E+15
10000008;20000104;WQZ8-4;8,78368E+16;3,14706E+16;-1,14393E+17;7,87505E+16;9,69232E+16;2,32481E+16;3,96932E+16;1,08956E+17;1,1983E+17;;9,08634E+15
10000008;20000105;DITJ-X;1,09637E+17;2,30003E+16;-1,34522E+17;1,02338E+17;1,16936E+17;1,527E+16;3,07305E+16;1,28548E+17;1,40496E+17;;7,73025E+15
10000008;20000106;YCM-AI;3,18498E+16;-1,98208E+16;-1,35155E+17;2,55844E+16;3,81152E+16;-3,34296E+16;-6,21195E+15;1,28285E+17;1,42026E+17;;1,36088E+16
10000008;20000107;CN5-F2;6,1556E+16;2,66728E+16;-1,36564E+17;5,44398E+16;6,86722E+16;2,33058E+16;3,00398E+16;1,29815E+17;1,43313E+17;;7,11621E+15
10000009;20000108;IV-LWJ;1,4367E+17;3,89929E+16;-1,21491E+17;1,2448E+17;1,62859E+17;2,92973E+16;4,86885E+16;1,16292E+17;1,26691E+17;;1,91896E+16
10000009;20000109;U-EUG7;1,54626E+17;-1,18238E+16;-1,25423E+17;1,47607E+17;1,61645E+17;-1,88803E+16;-4,76742E+15;1,13303E+17;1,37544E+17;;1,21203E+16
10000009;20000110;E-95ID;1,73073E+17;-1,31175E+16;-1,39429E+17;1,64549E+17;1,81597E+17;-1,82398E+16;-7,99522E+15;1,31476E+17;1,47381E+17;;8,5238E+15
10000009;20000111;8-4EFQ;1,52454E+17;9,15147E+15;-1,33958E+17;1,43278E+17;1,6163E+17;-3,33734E+15;2,16403E+16;1,26094E+17;1,41822E+17;;1,24888E+16
10000009;20000112;Z-ONUI;1,74026E+17;1,47997E+16;-1,41961E+17;1,66709E+17;1,81343E+17;8,0772E+15;2,15221E+16;1,36039E+17;1,47883E+17;;7,31694E+15
10000009;20000113;QA-P7J;1,30661E+17;3,70726E+15;-1,33586E+17;1,18743E+17;1,42579E+17;-3,13525E+15;1,05498E+16;1,22039E+17;1,45133E+17;;1,1918E+16
10000009;20000114;UR-HG4;1,293E+17;-1,21724E+16;-1,41853E+17;1,21189E+17;1,37411E+17;-2,57354E+16;1,3906E+15;1,35076E+17;1,48631E+17;;1,3563E+16
10000009;20000115;0YMH-Q;1,15193E+17;3,78937E+16;-1,10944E+17;1,07679E+17;1,22707E+17;2,58391E+16;4,99482E+16;1,05014E+17;1,16873E+17;;1,20545E+16
10000009;20000116;0EA3-8;1,08382E+17;-3,65013E+15;-1,32609E+17;1,00685E+17;1,16078E+17;-1,6669E+16;9,36879E+15;1,25578E+17;1,39641E+17;;1,30189E+16
10000009;20000117;0-YMZM;1,49355E+17;-4,12171E+16;-1,57798E+17;1,44352E+17;1,54357E+17;-5,81639E+16;-2,42703E+16;1,51987E+17;1,6361E+17;;1,69468E+16
10000009;20000118;N5V-Y0;1,3756E+17;1,76689E+16;-1,07384E+17;1,31074E+17;1,44046E+17;1,05697E+16;2,4768E+16;1,0024E+17;1,14527E+17;;7,14325E+15
10000009;20000119;N-LY4R;1,35465E+17;3,85408E+16;-1,01306E+17;1,27665E+17;1,43265E+17;3,18389E+16;4,52428E+16;9,47699E+16;1,07843E+17;;7,80005E+15
10000009;20000120;V2S-RH;2,00012E+17;-9,31147E+15;-1,62247E+17;1,8413E+17;2,15894E+17;-2,94827E+16;1,08598E+16;1,4638E+17;1,78115E+17;;2,01712E+16
10000009;20000121;FD-7Y4;1,89882E+17;-3,37279E+16;-1,72148E+17;1,77677E+17;2,02086E+17;-3,98261E+16;-2,76297E+16;1,58237E+17;1,86059E+17;;1,39109E+16
10000009;20000122;TL-FDN;1,65596E+17;4,68873E+16;-9,83663E+16;1,60019E+17;1,71172E+17;4,02632E+16;5,35115E+16;8,605E+16;1,10683E+17;;1,23164E+16
10000009;20000123;R-CL2W;1,64843E+17;-3,5666E+16;-1,92412E+17;1,44466E+17;1,8522E+17;-4,94032E+16;-2,19288E+16;1,83176E+17;2,01648E+17;;2,03766E+16
10000010;20000124;1P-VL2;-1,48941E+17;8,4322E+16;1,99814E+17;-1,62861E+17;-1,35022E+17;7,73419E+16;9,1302E+16;-2,03093E+17;-1,96536E+17;;1,39193E+16
10000010;20000125;X-VN63;-1,60127E+17;1,01547E+17;2,27438E+17;-1,71221E+17;-1,49033E+17;9,49211E+16;1,08174E+17;-2,39269E+17;-2,15607E+17;;1,18312E+16
10000010;20000126;014U-A;-1,31976E+17;1,04012E+17;2,16935E+17;-1,46921E+17;-1,1703E+17;1,01394E+17;1,0663E+17;-2,23313E+17;-2,10558E+17;;1,49456E+16
10000010;20000127;52-JKU;-9,77588E+16;9,72959E+16;2,3101E+17;-1,12951E+17;-8,25669E+16;8,58736E+16;1,08718E+17;-2,42359E+17;-2,19662E+17;;1,51919E+16
10000010;20000128;E3-NLE;-1,5006E+17;1,18759E+17;2,22187E+17;-1,58162E+17;-1,41957E+17;1,06363E+17;1,31155E+17;-2,36425E+17;-2,07948E+17;;1,42384E+16
10000010;20000129;GORV-P;-1,80136E+17;8,51714E+16;2,48701E+17;-1,89813E+17;-1,7046E+17;7,60299E+16;9,43128E+16;-2,55681E+17;-2,41722E+17;;9,67653E+15
10000010;20000130;03C-SU;-1,78385E+17;1,1074E+17;2,13161E+17;-1,85422E+17;-1,71347E+17;9,95244E+16;1,21956E+17;-2,21012E+17;-2,05309E+17;;1,12159E+16
10000010;20000131;W-XBGF;-6,00914E+16;8,17445E+16;2,36299E+17;-7,35476E+16;-4,66351E+16;7,33111E+16;9,01779E+16;-2,41897E+17;-2,30701E+17;;1,34562E+16
10000011;20000132;730-KH;2,0359E+16;1,17721E+16;-7,39597E+16;8,12319E+15;3,25947E+16;2,48394E+15;2,10603E+16;6,58831E+16;8,20363E+16;500015;1,22358E+16
10000011;20000133;U-3HAO;6,3099E+16;3,14704E+16;-9,12128E+16;5,49916E+16;7,12063E+16;2,56391E+16;3,73016E+16;8,39864E+16;9,84391E+16;500015;8,10733E+15
10000011;20000134;K-DLD2;2,76909E+16;1,3918E+16;-9,96988E+16;2,17925E+16;3,35893E+16;6,54064E+15;2,12953E+16;9,35327E+16;1,05865E+17;500015;7,37735E+15
10000011;20000135;V-LQBF;1,9368E+16;1,29799E+16;-1,07394E+17;5,72163E+15;3,30144E+16;-5,64732E+15;3,16071E+16;8,66096E+16;1,28178E+17;500015;2,07842E+16
10000011;20000136;BB8E-G;4,34686E+16;4,14411E+16;-7,92636E+16;3,10504E+16;5,58869E+16;2,87915E+16;5,40908E+16;7,28337E+16;8,56934E+16;500015;1,26497E+16
10000011;20000137;IYOO-M;4,77763E+16;1,23906E+16;-1,07794E+17;3,42686E+16;6,12839E+16;3,61554E+15;2,11656E+16;1,00902E+17;1,14686E+17;500015;1,35076E+16
10000011;20000138;Q-PVMK;1,57876E+16;3,75138E+16;-6,88985E+16;5,39726E+15;2,61779E+16;2,5131E+16;4,98967E+16;6,21568E+16;7,56401E+16;500015;1,23828E+16
10000011;20000139;AP-S8F;5,06531E+16;4,27486E+16;-5,44079E+16;4,26281E+16;5,86781E+16;2,84098E+16;5,70873E+16;4,21748E+16;6,6641E+16;500015;1,43388E+16
