TYPEID;ATTRIBUTEID;VALUEINT;VALUEFLOAT
186;779;;1.6
187;114;;0
187;116;;8
187;117;;2
187;118;;0
187;120;;1.6
187;124;4084071;
187;128;;2
187;137;55;
187;244;;1.05
187;422;1;
187;612;;0
187;613;;0
187;779;;1.4
188;114;;6
188;116;;0
188;117;;4
188;118;;0
188;120;;1.6
188;124;2772304;
188;128;;2
188;137;55;
188;244;;1.05
188;422;1;
188;612;;0
188;613;;0
188;779;;1.2
189;114;;0
189;116;;6
189;117;;4
189;118;;6
189;120;;1
189;124;4612441;
189;128;;2
189;137;55;
189;244;;1.2
189;422;1;
189;612;;0
189;613;;0
189;779;;1
190;114;;0
190;116;;4
190;117;;12
190;118;;0
190;120;;1
190;124;6380350;
190;128;;2
190;137;55;
190;244;;1.2
190;422;1;
190;612;;0
190;613;;0
190;779;;0.875
191;114;;0
191;116;;20
191;117;;4
191;118;;0
191;120;;0.5
191;124;12021089;
191;128;;2
191;137;55;
191;244;;1
191;422;1;
191;612;;0
191;613;;0
191;779;;0.75
192;114;;0
192;116;;0
192;117;;4
192;118;;20
192;120;;0.5
192;124;3304021;
192;128;;2
192;137;55;
192;244;;1
192;422;1;
192;612;;0
192;613;;0
192;779;;0.625
193;114;;18
193;116;;4
193;117;;2
193;118;;0
193;120;;0.5
193;124;16763512;
193;128;;2
193;137;55;
193;244;;1
193;422;1;
193;612;;0
193;613;;0
193;779;;0.5
194;114;;0
194;116;;4
194;117;;16
194;118;;0
194;120;;1.6
194;124;4082279;
194;128;;3
194;137;55;
194;244;;1.05
194;422;1;
194;612;;0
194;613;;0
194;779;;1.6
195;114;;0
195;116;;16
195;117;;4
195;118;;0
195;120;;1.6
195;124;4084071;
195;128;;3
195;137;55;
195;244;;1.05
195;422;1;
195;612;;0
195;613;;0
195;779;;1.4
196;114;;12
196;116;;0
196;117;;8
196;118;;0
196;120;;1.6
196;124;4086631;
196;128;;3
196;137;55;
196;244;;1.05
196;422;1;
196;612;;0
196;613;;0
196;779;;1.2
197;114;;0
197;116;;12
197;117;;8
197;118;;12
197;120;;1
197;124;4612441;
197;128;;3
197;137;55;
197;244;;1.2
197;422;1;
197;612;;0
197;613;;0
197;779;;1
198;114;;0
198;116;;8
198;117;;24
198;118;;0
198;120;;1
198;124;6380350;
198;128;;3
198;137;55;
198;244;;1.2
198;422;1;
198;612;;0
198;613;;0
198;779;;0.875
199;114;;0
199;116;;40
199;117;;8
199;118;;0
199;120;;0.5
199;124;12021089;
199;128;;3
199;137;55;
199;244;;1
199;422;1;
199;612;;0
199;613;;0
199;779;;0.75
200;114;;0
200;116;;0
200;117;;8
200;118;;40
200;120;;0.5
200;124;3304021;
200;128;;3
200;137;55;
200;244;;1
200;422;1;
200;612;;0
200;613;;0
200;779;;0.625
201;114;;36
201;116;;8
201;117;;4
201;118;;0
201;120;;0.5
201;124;16763512;
201;128;;3
201;137;55;
201;244;;1
201;422;1;
201;612;;0
201;613;;0
201;779;;0.5
202;9;;70
202;37;;4700
202;70;;0.00014449800378457667
202;108;35;
202;114;;375
202;116;;0
202;117;;0
202;118;;0
202;137;506;
202;182;3326;
202;183;3319;
202;277;1;
202;278;1;
202;281;;14000
202;422;1;
202;525;;1
202;633;0;
202;644;1;
202;653;;69
202;654;;330
202;655;;1500
202;1353;;4.5
202;1354;;5.5
203;9;;70
203;37;;4700
203;70;;0.00014449800378457667
203;108;35;
203;114;;0
203;116;;0
203;117;;375
203;118;;0
203;137;506;
203;182;3326;
203;183;3319;
203;277;1;
203;278;1;
203;281;;14000
203;422;1;
203;525;;1
203;633;0;
203;644;1;
203;653;;69
203;654;;330
203;655;;1500
203;1353;;4.5
203;1354;;5.5
204;9;;70
204;37;;4700
204;70;;0.00014449800378457667
204;108;35;
204;114;;0
204;116;;0
204;117;;0
204;118;;375
204;137;506;
204;182;3326;
204;183;3319;
204;277;1;
204;278;1;
204;281;;14000
204;422;1;
204;525;;1
204;633;0;
204;644;1;
204;653;;69
204;654;;330
204;655;;1500
204;1353;;4.5
204;1354;;5.5
205;9;;70
205;37;;4700
205;70;;0.00014449800378457667
205;108;35;
205;114;;0
205;116;;375
205;117;;0
205;118;;0
205;137;506;
205;182;3326;
205;183;3319;
205;277;1;
205;278;1;
205;281;;14000
205;422;1;
205;525;;1
205;633;0;
205;644;1;
205;653;;69
205;654;;330
205;655;;1500
205;1353;;4.5
205;1354;;5.5
206;9;;70
206;37;;4300
206;70;;0.00014449800378457667
206;108;35;
206;114;;0
206;116;;135
206;117;;0
206;118;;0
206;137;510;
206;182;3324;
206;183;3319;
206;277;1;
206;278;1;
206;281;;6500
206;422;1;
206;525;;1
206;633;0;
206;644;1;
206;653;;81
206;654;;140
206;655;;1500
206;1353;;3.2
206;1354;;5.5
207;9;;70
207;37;;4300
207;70;;0.00014449800378457667
207;108;35;
207;114;;135
207;116;;0
207;117;;0
207;118;;0
207;137;510;
207;182;3324;
207;183;3319;
207;277;1;
207;278;1;
207;281;;6500
207;422;1;
207;525;;1
207;633;0;
207;644;1;
207;653;;81
207;654;;140
207;655;;1500
207;1353;;3.2
207;1354;;5.5
208;9;;70
208;37;;4300
208;70;;0.00014449800378457667
208;108;35;
208;114;;0
208;116;;0
208;117;;0
208;118;;135
208;137;510;
208;182;3324;
208;183;3319;
208;277;1;
208;278;1;
208;281;;6500
208;422;1;
208;525;;1
208;633;0;
208;644;1;
208;653;;81
208;654;;140
208;655;;1500
208;1353;;3.2
208;1354;;5.5
209;9;;70
209;37;;4300
209;70;;0.00014449800378457667
209;108;35;
209;114;;0
209;116;;0
209;117;;135
209;118;;0
209;137;510;
209;182;3324;
209;183;3319;
209;277;1;
209;278;1;
209;281;;6500
209;422;1;
209;525;;1
209;633;0;
209;644;1;
209;653;;81
209;654;;140
209;655;;1500
209;1353;;3.2
209;1354;;5.5
210;9;;70
210;37;3750;
210;70;;0.00014449800378457667
210;108;35;
210;114;;0
210;116;;0
210;117;;83
210;118;;0
210;137;509;
210;182;3321;
210;183;3319;
210;277;1;
210;278;1;
210;281;5000;
210;422;1;
210;525;;1
210;633;0;
210;644;1;
210;653;;170
210;654;;40
210;655;;1500
210;1353;;2.8
210;1354;;5.5
211;9;;70
211;37;3750;
211;70;;0.00014449800378457667
211;108;35;
211;114;;0
211;116;;0
211;117;;0
211;118;;83
211;137;509;
211;182;3321;
211;183;3319;
211;277;1;
211;278;1;
211;281;5000;
211;422;1;
211;525;;1
211;633;0;
211;644;1;
211;653;;170
211;654;;40
211;655;;1500
211;1353;;2.8
211;1354;;5.5
212;9;;70
212;37;3750;
212;70;;0.00014449800378457667
212;108;35;
212;114;;83
212;116;;0
212;117;;0
212;118;;0
212;137;509;
212;182;3321;
212;183;3319;
212;277;1;
212;278;1;
212;281;5000;
212;422;1;
212;525;;1
212;633;0;
212;644;1;
212;653;;170
212;654;;40
212;655;;1500
212;1353;;2.8
212;1354;;5.5
213;9;;70
213;37;3750;
213;70;;0.00014449800378457667
213;108;35;
213;114;;0
213;116;;83
213;117;;0
213;118;;0
213;137;509;
213;182;3321;
213;183;3319;
213;277;1;
213;278;1;
213;281;5000;
213;422;1;
213;525;;1
213;633;0;
213;644;1;
213;653;;170
213;654;;40
213;655;;1500
213;1353;;2.8
213;1354;;5.5
215;114;0;
215;116;0;
215;117;3;
215;118;2;
215;120;;1.6
215;124;5202838;
215;128;1;
215;137;74;
215;317;-30;
215;422;1;
215;612;;0
215;613;;0
215;779;;1.6
216;114;0;
216;116;0;
216;117;4;
216;118;2;
216;120;;1.4
216;124;5801883;
216;128;1;
216;137;74;
216;317;-27;
216;422;1;
216;612;;0
216;613;;0
216;779;;1.4
217;114;0;
217;116;0;
217;117;4;
217;118;3;
217;120;;1.2
217;124;6201492;
217;128;1;
217;137;74;
217;317;-24;
217;422;1;
217;612;;0
217;613;;0
217;779;;1.2
218;114;0;
218;116;0;
218;117;5;
218;118;3;
218;120;;1
218;124;8301159;
218;128;1;
218;137;74;
218;317;-50;
218;422;1;
218;612;;0
218;613;;0
218;779;;1
219;114;0;
219;116;0;
219;117;5;
219;118;4;
219;120;;0.875
219;124;10727277;
219;128;1;
219;137;74;
219;317;-40;
219;422;1;
219;612;;0
219;613;;0
219;779;;0.875
220;114;0;
220;116;0;
220;117;6;
220;118;4;
220;120;;0.75
220;124;11835778;
220;128;1;
220;137;74;
220;317;-8;
220;422;1;
220;612;;0
220;613;;0
220;779;;0.75
221;114;0;
221;116;0;
221;117;6;
221;118;5;
221;120;;0.625
221;124;12487062;
221;128;1;
221;137;74;
221;317;-5;
221;422;1;
221;612;;0
221;613;;0
221;779;;0.625
222;114;0;
222;116;0;
222;117;7;
222;118;5;
222;120;;0.5
222;124;16764120;
222;128;1;
222;137;74;
222;317;0;
222;422;1;
222;612;;0
222;613;;0
222;779;;0.5
223;114;0;
223;116;0;
223;117;6;
223;118;4;
223;120;;1.6
223;124;5202838;
223;128;2;
223;137;74;
223;317;-30;
223;422;1;
223;612;;0
223;613;;0
223;779;;1.6
224;114;0;
224;116;0;
224;117;8;
224;118;4;
224;120;;1.4
224;124;5801883;
224;128;2;
224;137;74;
224;317;-27;
224;422;1;
224;612;;0
224;613;;0
224;779;;1.4
225;114;0;
225;116;0;
225;117;8;
225;118;6;
225;120;;1.2
225;124;6201492;
225;128;2;
225;137;74;
225;317;-24;
225;422;1;
225;612;;0
225;613;;0
225;779;;1.2
226;114;0;
226;116;0;
226;117;10;
226;118;6;
226;120;;1
226;124;8301159;
226;128;2;
226;137;74;
226;317;-50;
226;422;1;
226;612;;0
226;613;;0
226;779;;1
227;114;0;
227;116;0;
227;117;10;
227;118;8;
227;120;;0.875
227;124;10727277;
227;128;2;
227;137;74;
227;317;-40;
227;422;1;
227;612;;0
227;613;;0
227;779;;0.875
228;114;0;
228;116;0;
228;117;12;
228;118;8;
228;120;;0.75
228;124;11835778;
228;128;2;
228;137;74;
228;317;-8;
228;422;1;
228;612;;0
228;613;;0
228;779;;0.75
229;114;0;
229;116;0;
229;117;12;
229;118;10;
229;120;;0.625
229;124;12487062;
229;128;2;
229;137;74;
229;317;-5;
229;422;1;
229;612;;0
229;613;;0
229;779;;0.625
230;114;0;
230;116;0;
230;117;14;
230;118;10;
230;120;;0.5
230;124;16764120;
230;128;2;
230;137;74;
230;317;0;
230;422;1;
230;612;;0
230;613;;0
230;779;;0.5
231;114;0;
231;116;0;
231;117;12;
231;118;8;
231;120;;1.6
231;124;5202838;
231;128;3;
231;137;74;
231;317;-30;
231;422;1;
231;612;;0
231;613;;0
231;779;;1.6
232;114;0;
232;116;0;
232;117;16;
232;118;8;
232;120;;1.4
232;124;5801883;
232;128;3;
232;137;74;
232;317;-27;
232;422;1;
232;612;;0
232;613;;0
232;779;;1.4
233;114;0;
233;116;0;
233;117;16;
233;118;12;
233;120;;1.2
233;124;6201492;
233;128;3;
233;137;74;
233;317;-24;
233;422;1;
233;612;;0
233;613;;0
233;779;;1.2
234;114;0;
234;116;0;
234;117;20;
234;118;12;
234;120;;1
234;124;8301159;
234;128;3;
234;137;74;
234;317;-50;
234;422;1;
234;612;;0
234;613;;0
234;779;;1
235;114;0;
235;116;0;
235;117;20;
235;118;16;
235;120;;0.875
235;124;10727277;
235;128;3;
235;137;74;
235;317;-40;
235;422;1;
235;612;;0
235;613;;0
235;779;;0.875
236;114;0;
236;116;0;
236;117;24;
236;118;16;
236;120;;0.75
236;124;11835778;
236;128;3;
236;137;74;
236;317;-8;
236;422;1;
236;612;;0
236;613;;0
236;779;;0.75
237;114;0;
237;116;0;
237;117;24;
237;118;20;
237;120;;0.625
237;124;12487062;
237;128;3;
237;137;74;
237;317;-5;
237;422;1;
237;612;;0
237;613;;0
237;779;;0.625
238;114;0;
238;116;0;
238;117;28;
238;118;20;
238;120;;0.5
238;124;16764120;
238;128;3;
238;137;74;
238;317;0;
238;422;1;
238;612;;0
238;613;;0
238;779;;0.5
239;3;0;
239;9;1;
239;114;;5
239;116;;0
239;117;;0
239;118;;0
239;120;;1.6
239;124;2833864;
239;128;1;
239;137;53;
239;317;-15;
239;422;1;
239;612;;0
239;613;;0
239;779;;1.6
239;783;;1
239;784;;0.00025
239;786;0;
240;3;0;
240;9;1;
240;114;;4
240;116;;0
240;117;;0
240;118;;2
240;120;;1.4
240;124;3105952;
240;128;1;
240;137;53;
240;317;-25;
240;422;1;
240;612;;0
240;613;;0
240;779;;1.4
240;783;;1
240;784;;0.00025
240;786;0;
241;3;0;
241;9;1;
241;114;;5
241;116;;0
241;117;;0
241;118;;2
241;120;;1.2
241;124;5209238;
241;128;1;
241;137;53;
241;317;-35;
241;422;1;
241;612;;0
241;613;;0
241;779;;1.2
241;783;;1
241;784;;0.00025
241;786;0;
242;3;0;
242;9;1;
242;114;;5
242;116;;0
242;117;;0
242;118;;3
242;120;;1
242;124;5215864;
242;128;1;
242;137;53;
242;317;-45;
242;422;1;
242;612;;0
242;613;;0
242;779;;1
242;783;;1
242;784;;0.00025
242;786;0;
243;3;0;
243;9;1;
243;114;;6
243;116;;0
243;117;;0
243;118;;3
243;120;;0.875
243;124;8039008;
243;128;1;
243;137;53;
243;317;-35;
243;422;1;
243;612;;0
243;613;;0
243;779;;0.875
243;783;;1
243;784;;0.00025
243;786;0;
244;3;0;
244;9;1;
244;114;;6
244;116;;0
244;117;;0
244;118;;4
244;120;;0.75
244;124;9202277;
244;128;1;
244;137;53;
244;317;-25;
244;422;1;
244;612;;0
244;613;;0
244;779;;0.75
244;783;;1
244;784;;0.00025
244;786;0;
245;3;0;
245;9;1;
245;114;;7
245;116;;0
245;117;;0
245;118;;4
245;120;;0.625
245;124;16746403;
245;128;1;
245;137;53;
245;317;-15;
245;422;1;
245;612;;0
245;613;;0
245;779;;0.625
245;783;;1
245;784;;0.00025
245;786;0;
246;3;0;
246;9;1;
246;114;;7
246;116;;0
246;117;;0
246;118;;5
246;120;;0.5
246;124;11646664;
246;128;1;
246;137;53;
246;317;0;
246;422;1;
246;612;;0
246;613;;0
246;779;;0.5
246;783;;1
246;784;;0.00025
246;786;0;
247;3;0;
247;9;1;
247;114;;10
247;116;;0
247;117;;0
247;118;;0
247;120;;1.6
247;124;2833864;
247;128;2;
247;137;53;
247;317;-15;
247;422;1;
247;612;;0
247;613;;0
247;779;;1.6
247;783;;1
247;784;;0.00025
247;786;0;
248;3;0;
248;9;1;
248;114;;8
248;116;;0
248;117;;0
248;118;;4
248;120;;1.4
248;124;3105952;
248;128;2;
248;137;53;
248;317;-25;
248;422;1;
248;612;;0
248;613;;0
248;779;;1.4
248;783;;1
248;784;;0.00025
248;786;0;
249;3;0;
249;9;1;
249;114;;10
249;116;;0
249;117;;0
249;118;;4
249;120;;1.2
249;124;5209238;
249;128;2;
249;137;53;
249;317;-35;
249;422;1;
249;612;;0
249;613;;0
249;779;;1.2
249;783;;1
249;784;;0.00025
249;786;0;
250;3;0;
250;9;1;
250;114;;10
250;116;;0
250;117;;0
250;118;;6
250;120;;1
250;124;5215864;
250;128;2;
250;137;53;
250;317;-45;
250;422;1;
250;612;;0
250;613;;0
250;779;;1
250;783;;1
250;784;;0.00025
250;786;0;
251;3;0;
251;9;1;
251;114;;12
251;116;;0
251;117;;0
251;118;;6
251;120;;0.875
251;124;8039008;
251;128;2;
251;137;53;
251;317;-35;
251;422;1;
251;612;;0
251;613;;0
251;779;;0.875
251;783;;1
251;784;;0.00025
251;786;0;
252;3;0;
252;9;1;
252;114;;12
252;116;;0
252;117;;0
252;118;;8
252;120;;0.75
252;124;9202277;
252;128;2;
252;137;53;
252;317;-25;
252;422;1;
252;612;;0
252;613;;0
252;779;;0.75
252;783;;1
252;784;;0.00025
252;786;0;
253;3;0;
253;9;1;
253;114;;14
253;116;;0
253;117;;0
253;118;;8
253;120;;0.625
253;124;16746403;
253;128;2;
253;137;53;
253;317;-15;
253;422;1;
253;612;;0
253;613;;0
253;779;;0.625
253;783;;1
253;784;;0.00025
253;786;0;
254;3;0;
254;9;1;
254;114;;14
254;116;;0
254;117;;0
254;118;;10
254;120;;0.5
254;124;11646664;
254;128;2;
254;137;53;
254;317;0;
254;422;1;
254;612;;0
254;613;;0
254;779;;0.5
254;783;;1
254;784;;0.00025
254;786;0;
255;3;0;
255;9;1;
255;114;;20
255;116;;0
255;117;;0
255;118;;0
255;120;;1.6
255;124;2833864;
255;128;3;
255;137;53;
255;317;-15;
255;422;1;
255;612;;0
255;613;;0
255;779;;1.6
255;783;;1
255;784;;0.00025
255;786;0;
256;3;0;
256;9;1;
256;114;;16
256;116;;0
256;117;;0
256;118;;8
256;120;;1.4
256;124;3105952;
256;128;3;
256;137;53;
256;317;-25;
256;422;1;
256;612;;0
256;613;;0
256;779;;1.4
256;783;;1
256;784;;0.00025
256;786;0;
257;3;0;
257;9;1;
257;114;;20
257;116;;0
257;117;;0
257;118;;8
257;120;;1.2
257;124;5209238;
257;128;3;
257;137;53;
257;317;-35;
257;422;1;
257;612;;0
257;613;;0
257;779;;1.2
257;783;;1
257;784;;0.00025
257;786;0;
258;3;0;
258;9;1;
258;114;;20
258;116;;0
258;117;;0
258;118;;12
258;120;;1
258;124;5215864;
258;128;3;
258;137;53;
258;317;-45;
258;422;1;
258;612;;0
258;613;;0
258;779;;1
258;783;;1
258;784;;0.00025
258;786;0;
259;3;0;
259;9;1;
259;114;;24
259;116;;0
259;117;;0
259;118;;12
259;120;;0.875
259;124;8039008;
259;128;3;
259;137;53;
259;317;-35;
259;422;1;
259;612;;0
259;613;;0
259;779;;0.875
259;783;;1
259;784;;0.00025
259;786;0;
260;3;0;
260;9;1;
260;114;;24
260;116;;0
260;117;;0
260;118;;16
260;120;;0.75
260;124;9202277;
260;128;3;
260;137;53;
260;317;-25;
260;422;1;
260;612;;0
260;613;;0
260;779;;0.75
260;783;;1
260;784;;0.00025
260;786;0;
261;3;0;
261;9;1;
261;114;;28
261;116;;0
261;117;;0
261;118;;16
261;120;;0.625
261;124;16746403;
261;128;3;
261;137;53;
261;317;-15;
261;422;1;
261;612;;0
261;613;;0
261;779;;0.625
261;783;;1
261;784;;0.00025
261;786;0;
262;3;0;
262;9;1;
262;114;;28
262;116;;0
262;117;;0
262;118;;20
262;120;;0.5
262;124;11646664;
262;128;3;
262;137;53;
262;317;0;
262;422;1;
262;612;;0
262;613;;0
262;779;;0.5
262;783;;1
262;784;;0.00025
262;786;0;
263;67;25;
263;128;;1
263;137;76;
263;317;;-100
263;602;;1156
264;67;50;
264;128;;2
264;137;76;
264;317;;-100
264;602;;1156
265;9;5;
265;37;7500;
265;70;;0
265;107;500;
265;114;0;
265;116;;70
265;117;0;
265;118;0;
265;122;;1
265;123;;1
265;137;;510
265;182;3319;
265;183;3323;
265;277;1;
265;278;1;
265;281;10000;
265;422;1;
265;525;;1
265;612;;0
265;613;;0
265;644;1;
266;9;;70
266;37;2250;
266;70;;5.220125693558398
266;108;35;
266;114;;0
266;116;;0
266;117;;33
266;118;;0
266;122;;1
266;137;507;
266;182;3320;
266;183;3319;
266;277;1;
266;278;1;
266;281;2000;
266;422;1;
266;525;;1
266;612;;0
266;613;;0
266;633;0;
266;644;1;
266;653;;150
266;654;;20
266;655;;1500
266;1353;;3
266;1354;;5.5
267;9;;280
267;37;1500;
267;70;;5.22012569356
267;108;35;
267;114;;0
267;116;;0
267;117;;450
267;118;;0
267;137;508;
267;182;3325;
267;183;3319;
267;277;1;
267;278;1;
267;281;6000;
267;422;1;
267;525;;1
267;612;;0
267;613;;0
267;633;0;
267;644;1;
267;653;;71
267;654;;450
267;655;;1500
267;1353;;5
267;1354;;5.5
269;9;;70
269;37;3750;
269;70;;0.00014449800378457667
269;108;35;
269;114;;62
269;116;;0
269;117;;0
269;118;;0
269;137;509;
269;182;3322;
269;183;3321;
269;184;3319;
269;277;1;
269;278;1;
269;279;1;
269;281;5000;
269;422;1;
269;525;;1
269;612;;0
269;613;;0
269;644;1;
269;653;;170
269;654;;40
269;655;;1500
269;1353;;2.8
269;1354;;5.5
270;9;100;
270;107;500;
270;114;30;
270;116;0;
270;117;0;
270;118;0;
270;154;500;
270;156;;0.75
270;182;3319;
270;277;1;
270;525;;1
270;612;;0
270;613;;0
377;9;40;
377;30;2;
377;50;20;
377;72;188;
377;182;3425;
377;277;1;
377;422;1;
377;633;0;
377;983;;2
380;9;40;
380;30;3;
380;50;23;
380;72;263;
380;182;3425;
380;277;3;
380;422;2;
380;633;5;
380;983;;2
393;9;40;
393;30;1;
393;50;25;
393;134;;0.9
393;182;3425;
393;277;3;
393;422;1;
393;633;0;
394;9;40;
394;30;1;
394;50;30;
394;134;;0.85
394;182;3425;
394;277;4;
394;422;2;
394;633;5;
399;6;;20
399;9;40;
399;30;2;
399;50;25;
399;68;;26
399;73;;2000
399;182;3416;
399;277;1;
399;422;1;
399;633;0;
399;1180;;0.01
399;1206;;-15
399;1211;;0.8
399;1212;1;
399;1231;;10
400;6;;20
400;9;40;
400;30;3;
400;50;29;
400;68;;35
400;73;;2000
400;182;3416;
400;277;3;
400;422;2;
400;633;5;
400;1180;;0.02
400;1206;;-15
400;1211;;0.8
400;1212;1;
400;1231;;10
405;6;;33
405;9;40;
405;30;4;
405;50;35;
405;68;;40
405;73;;5000
405;87;3000;
405;182;3422;
405;277;1;
405;422;1;
405;633;0;
405;1180;;0.01
405;1206;;-15
405;1211;;2.2
405;1212;1;
406;6;;30
406;9;40;
406;30;5;
406;50;42;
406;68;;48
406;73;;4500
406;87;3600;
406;182;3422;
406;277;2;
406;422;2;
406;633;5;
406;1180;;0.02
406;1206;;-15
406;1211;;2
406;1212;1;
421;9;40;
421;30;1;
421;50;5;
421;144;;0.9
421;182;3424;
421;277;2;
421;422;1;
421;633;0;
434;6;;45
434;9;40;
434;20;;500
434;30;15;
434;50;25;
434;73;;10000
434;147;;0.75
434;182;3454;
434;277;1;
434;422;1;
434;554;;500
434;567;1500000;
434;576;;0.01
434;578;;1
434;633;;0
434;669;;0
434;763;1;
434;796;;500000
434;801;1;
434;914;;0
434;920;;0
434;1180;;0.04
434;1211;;19
434;1212;1;
434;1223;50;
438;6;;22
438;9;40;
438;20;;135
438;30;;11
438;50;;15
438;73;;10000
438;147;;1
438;182;3450;
438;277;4;
438;422;2;
438;567;1500000;
438;576;;0.01
438;578;;1
438;633;;5
438;763;1;
438;796;;500000
438;801;0;
438;914;;0
438;920;;0
438;1180;;0.04
438;1211;;9.6
438;1212;1;
438;1223;50;
439;6;;20
439;9;40;
439;20;;112.5
439;30;;10
439;50;;15
439;73;;10000
439;147;;1
439;182;3450;
439;277;1;
439;422;1;
439;567;1500000;
439;576;;0.01
439;578;;1
439;633;;0
439;763;1;
439;796;;500000
439;801;0;
439;914;;0
439;920;;0
439;1180;;0.04
439;1211;;9.6
439;1212;1;
439;1223;50;
440;6;;50
440;9;40;
440;20;;500
440;30;17;
440;50;25;
440;73;;10000
440;147;;0.83
440;182;3454;
440;277;3;
440;422;2;
440;554;;500
440;567;1500000;
440;576;;0.01
440;578;;1
440;633;;5
440;669;;0
440;763;1;
440;796;;500000
440;801;1;
440;914;;0
440;920;;0
440;1180;;0.04
440;1211;;19
440;1212;1;
440;1223;50;
442;6;;4
442;9;40;
442;30;1;
442;50;5;
442;73;;5000
442;126;50000;
442;182;3426;
442;277;1;
442;422;1;
442;633;0;
442;1014;1;
443;6;5;
443;9;40;
443;30;1;
443;47;1;
443;50;15;
443;73;;2000
443;125;50000;
443;182;3426;
443;277;1;
443;422;1;
443;510;;30000
443;633;0;
443;1014;1;
444;6;;5
444;9;40;
444;30;1;
444;50;5;
444;73;;5000
444;182;3426;
444;189;11;
444;197;15000;
444;277;1;
444;422;1;
444;633;0;
444;1014;1;
447;6;;5
447;9;40;
447;30;;1
447;50;;30
447;54;;7500
447;73;;5000
447;105;;2
447;158;;0
447;182;3435;
447;277;1;
447;422;1;
447;633;;0
447;1180;;0.01
447;1211;;5
447;1212;1;
447;1222;;20
447;1350;;1
448;6;;5
448;9;40;
448;30;;1
448;50;;36
448;54;;9000
448;73;;5000
448;105;;2
448;158;;0
448;182;3435;
448;277;2;
448;422;2;
448;633;;5
448;1180;;0.02
448;1211;;5
448;1212;1;
448;1222;;20
448;1350;;1
450;6;;1.82
450;9;40;
450;30;5;
450;47;1;
450;50;4;
450;51;2100;
450;54;4000;
450;61;0;
450;64;;1.5
450;128;1;
450;158;;500
450;160;;0.308125
450;182;3303;
450;183;3300;
450;277;1;
450;278;1;
450;422;1;
450;604;86;
450;620;;40
450;633;0;
450;1180;;0.01
450;1210;;15
450;1211;;0.6
450;1212;1;
450;1768;;11313
451;6;;2.67
451;9;40;
451;30;6;
451;47;1;
451;50;8;
451;51;2700;
451;54;4500;
451;61;0;
451;64;;2
451;128;1;
451;158;;1500
451;160;;0.27375
451;182;3303;
451;183;3300;
451;277;1;
451;278;1;
451;422;1;
451;604;86;
451;620;;40
451;633;0;
451;1180;;0.01
451;1210;;15
451;1211;;0.6
451;1212;1;
451;1768;;11313
452;6;;3.89
452;9;40;
452;30;7;
452;47;1;
452;50;12;
452;51;3200;
452;54;8750;
452;61;0;
452;64;;2
452;128;1;
452;158;;3000
452;160;;0.13
452;182;3303;
452;183;3300;
452;277;1;
452;278;1;
452;422;1;
452;604;86;
452;620;;40
452;633;0;
452;1180;;0.01
